distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas
"11,8","4,5",39,"22,5",3,,SP98,0,0,0,,
"31,4","4,6",62,"22,5",11,,SP98,0,0,0,,
19,"5,1",53,"22,5",4,rain,SP98,0,1,0,,
13,"5,7",38,"22,5",3,AC rain,SP98,1,1,0,,
"11,8","4,8",42,"22,5",2,,SP98,0,0,0,,
13,"6,2",32,"22,5",4,,SP98,0,0,0,,
"11,8",5,43,"22,5",1,,SP98,0,0,0,,
"27,1",5,69,"22,5",8,,SP98,0,0,0,,
"5,2","4,6",38,"22,5",8,,SP98,0,0,0,,
19,"4,5",29,"22,5",10,,E10,0,0,0,39,E10
"12,4","4,8",38,"22,5",1,,E10,0,0,0,,
"25,2",5,55,"22,5",9,,E10,0,0,0,,
"14,3","4,8",36,"22,5",10,,E10,0,0,0,,
"11,8","4,6",40,"22,5",2,,E10,0,0,0,,
"16,9","4,5",48,"22,5",9,sun,E10,0,0,1,,
"12,4","4,6",55,"22,5",11,sun,E10,0,0,1,,
"17,4","4,4",36,"22,5",12,sun,E10,0,0,1,,
"9,2","5,7",33,"22,5",8,rain,E10,0,1,0,,
"12,3","5,8",54,"22,5",10,rain,E10,0,1,0,,
13,"5,9",32,"22,5",10,,E10,0,0,0,,
"11,8","6,1",16,"22,5",6,rain,E10,0,1,0,,
13,"5,7",37,"22,5",11,rain,E10,0,1,0,,
"12,3",5,42,"22,5",10,,E10,0,0,0,,
"12,3","5,2",57,"22,5",15,sun,E10,0,0,1,,
"12,5","4,3",57,"22,5",16,sun,E10,0,0,1,,
"31,5","4,1",30,"22,5",16,sun,E10,0,0,1,,
"11,8","4,4",42,"22,5",8,,E10,0,0,0,,
"24,9","4,5",53,"22,5",14,,E10,0,0,0,,
17,"3,9",46,"22,5",14,sun,E10,0,0,1,,
2,"8,1",20,"22,5",14,,E10,0,0,0,,
"11,8","4,4",33,"22,5",8,,E10,0,0,0,,
"7,4",5,31,"22,5",12,,E10,0,0,0,,
"12,4","4,7",55,"22,5",14,sun,E10,0,0,1,,
2,6,22,"22,5",14,,E10,0,0,0,,
14,5,41,"22,5",8,,E10,0,0,0,,
"25,7",5,45,"22,5",7,,E10,0,0,0,,
"24,5","3,9",50,,15,sun,E10,0,0,1,,
"11,8","4,5",28,"22,5",12,,E10,0,0,0,,
"4,1","5,4",24,"22,5",13,,E10,0,0,0,,
"4,2","5,6",29,22,17,,E10,0,0,0,,
"4,2","3,9",29,22,18,sun,E10,0,0,1,,
16,4,40,22,10,,E10,0,0,0,,
"22,9",4,29,,21,,E10,0,0,0,,
16,"3,8",42,,8,,E10,0,0,0,,
"15,4","4,5",50,22,14,,E10,0,0,0,,
16,"3,8",41,22,12,,E10,0,0,0,,
"4,2","5,6",32,22,18,,E10,0,0,0,,
"101,9","5,2",75,22,18,,E10,0,0,0,,
"93,9","4,8",88,23,18,AC sun,E10,1,0,1,,
"25,7","4,9",50,22,10,rain,SP98,0,1,0,41,SP98
16,"4,1",40,22,10,,SP98,0,0,0,,
"16,1","4,5",32,22,19,,SP98,0,0,0,,
16,"4,4",40,22,7,AC rain,SP98,1,1,0,,
16,"4,5",41,22,11,,SP98,0,0,0,,
"24,7","4,5",26,22,10,,SP98,0,0,0,,
16,"3,9",42,22,8,,SP98,0,0,0,,
"15,4","4,6",43,22,16,,SP98,0,0,0,,
16,"3,8",40,22,8,,SP98,0,0,0,,
"32,1","4,5",50,22,16,,SP98,0,0,0,,
"25,9","4,4",40,22,14,,SP98,0,0,0,,
"48,6","4,3",44,22,12,,SP98,0,0,0,,
"37,2",4,45,22,20,sun,SP98,0,0,1,,
"28,8","3,9",35,22,15,sun,SP98,0,0,1,,
"6,7",5,30,22,17,,SP98,0,0,0,,
"7,4","4,1",25,22,18,sun,SP98,0,0,1,,
"17,3","4,1",22,22,25,sun,SP98,0,0,1,,
"6,6","5,6",43,22,16,,SP98,0,0,0,,
"14,3","4,1",26,22,20,,SP98,0,0,0,,
"13,3","4,6",33,22,18,,SP98,0,0,0,,
"8,3","4,9",26,22,23,,SP98,0,0,0,,
"12,7","4,5",39,22,27,sun,SP98,0,0,1,,
"16,5","4,1",47,22,14,,SP98,0,0,0,,
"20,6","4,1",38,22,21,,SP98,0,0,0,,
"16,3","4,5",58,22,16,,SP98,0,0,0,,
"18,7","4,2",65,25,18,sun ac,SP98,1,0,1,,
"36,5","3,9",54,23,18,sun,SP98,0,0,1,,
19,5,35,22,15,sun ac,SP98,1,0,1,,
"16,6","4,4",46,22,5,ac,SP98,1,0,0,,
"29,9","4,5",32,22,18,ac,SP98,1,0,0,,
16,"3,8",42,22,11,,SP98,0,0,0,,
"21,1","5,1",33,22,10,rain,SP98,0,1,0,,
16,"3,9",40,22,10,,SP98,0,0,0,,
"11,9","5,3",34,22,13,,SP98,0,0,0,,
"10,1","4,2",35,22,16,,SP98,0,0,0,,
"31,9","4,3",33,22,16,,SP98,0,0,0,,
"18,7",4,60,22,13,,SP98,0,0,0,,
"10,8","4,7",48,22,17,sun,SP98,0,0,1,,
"19,8",4,56,22,17,sun,SP98,0,0,1,,
"11,3","4,3",38,22,17,,SP98,0,0,0,37,SP98
"11,5","5,3",53,22,15,,SP98,0,0,0,,
"21,4","5,2",51,22,13,,SP98,0,0,0,,
32,"4,9",53,22,15,,SP98,0,0,0,,
"41,9","4,7",53,22,14,,SP98,0,0,0,,
211,"4,6",80,22,20,,SP98,0,0,0,,
"216,1","5,3",90,22,21,sun,SP98,0,0,1,,
"25,5","3,6",27,22,27,sun,SP98,0,0,1,,
"16,6","4,2",52,22,15,rain,SP98,0,1,0,,
"25,9","4,1",43,22,24,,SP98,0,0,0,,
"16,5",4,48,22,15,,SP98,0,0,0,,
"22,1","3,9",29,22,26,,SP98,0,0,0,,
"16,6","3,7",49,22,17,,E10,0,0,0,"37,7",E10
"15,4","4,5",43,22,24,,E10,0,0,0,,
"16,5","3,9",43,22,17,,E10,0,0,0,,
"15,4","5,1",21,22,24,,E10,0,0,0,,
"18,4","4,2",59,22,24,,E10,0,0,0,,
"39,5","4,2",58,22,25,,E10,0,0,0,,
"21,5","4,8",47,25,27,AC Sun,E10,1,0,1,,
"4,8","4,7",26,25,18,,E10,0,0,0,,
"100,9","4,7",87,"23,5",22,,E10,0,0,0,,
"129,7","4,6",58,24,21,ac,E10,0,0,0,,
"16,6","3,8",43,"21,5",16,,E10,0,0,0,,
"15,4","4,2",50,"21,5",21,,E10,0,0,0,,
16,"3,7",45,22,17,,E10,0,0,0,,
16,"4,2",41,22,15,,E10,0,0,0,,
"15,4","4,1",45,22,24,,E10,0,0,0,,
16,4,43,22,16,,E10,0,0,0,,
21,"3,8",37,22,21,,E10,0,0,0,,
"15,4","3,8",47,22,24,,E10,0,0,0,,
16,"3,8",42,22,17,,E10,0,0,0,,
"16,1","5,1",30,25,16,ac rain,E10,1,1,0,,
16,4,42,22,15,,E10,0,0,0,,
"15,4","4,8",40,22,18,,E10,0,0,0,,
"17,2","3,9",35,22,16,,E10,0,0,0,,
"16,6","4,6",50,22,25,,E10,0,0,0,,
"18,3","4,3",46,22,16,,SP98,0,0,0,"37,2",SP98
"16,1","4,8",36,22,18,rain,SP98,0,1,0,,
16,"4,1",46,22,17,,SP98,0,0,0,,
"16,3",4,35,22,23,,SP98,0,0,0,,
16,"3,7",44,22,16,,SP98,0,0,0,,
"18,3","4,3",46,22,23,,SP98,0,0,0,,
"4,5","5,2",23,22,23,sun,SP98,0,0,1,,
17,"4,2",48,22,16,,SP98,0,0,0,,
"6,1",5,35,"24,5",18,,SP98,0,0,0,,
"6,1",5,33,22,24,sun,SP98,0,0,1,,
"17,3","4,2",36,22,22,,SP98,0,0,0,,
6,"4,8",27,22,17,,SP98,0,0,0,,
16,"4,1",45,22,15,,SP98,0,0,0,,
"15,4","4,9",55,22,18,,SP98,0,0,0,,
"15,4","4,3",39,22,23,,SP98,0,0,0,,
16,"3,9",35,22,18,,SP98,0,0,0,,
"15,4","4,5",52,22,26,,SP98,0,0,0,,
"16,6","4,1",48,"25,5",30,sun ac,SP98,1,0,1,,
"15,4",5,48,"25,5",31,ac,SP98,1,0,0,,
16,4,43,22,21,ac,SP98,1,0,0,,
"15,4","4,5",42,22,30,,SP98,0,0,0,,
16,"3,6",43,22,19,,SP98,0,0,0,,
"20,9","4,1",33,22,21,,SP98,0,0,0,,
"32,1","3,9",47,22,26,,SP98,0,0,0,,
"15,3","6,6",16,24,27,ac,SP98,1,0,0,,
"28,5",4,44,25,23,ac,SP98,1,0,0,,
"11,9","3,7",33,25,19,,SP98,0,0,0,,
"14,5","4,3",36,25,22,,SP98,0,0,0,,
"16,6","4,1",49,22,26,sun,SP98,0,0,1,,
"16,2","4,4",39,"24,5",17,ac,SP98,1,0,0,,
"16,7","3,8",44,"24,5",23,sun,SP98,0,0,1,,
"8,3",5,52,"24,5",27,,SP98,0,0,0,,
"5,5","3,7",33,"24,5",28,sun,SP98,0,0,1,,
"13,6","3,7",33,"24,5",28,sun,SP98,0,0,1,,
16,"3,7",39,"24,5",18,,SP98,0,0,0,,
"16,1","4,3",38,25,31,AC,SP98,1,0,0,,
16,"3,8",45,25,19,,SP98,0,0,0,,
"15,4","4,6",42,25,31,AC,SP98,1,0,0,,
"14,7",5,25,25,30,AC,SP98,1,0,0,,
