overall,vote,reviewTime,reviewText,summary
4,4,08-02-2011,"This is a very nice keyboard for someone who does not have a desk for their computer. I like it for the most part, touch pad works natively in both Windows XP and in Ubuntu 10.04 without having to install anything. Of course nothing is perfect, there are a few negatives. Once using Windows XP, for some odd reason, the back button stopped working, but then when I booted into Ubuntu, it worked fine, so I believe its a compatibility issue with XP. I managed to fix this with a reboot, and this problem has only happened once and never again. Also once and a while the touch pad doesnt move as fast as it should, but after playing with the pad for a few seconds, it kind of ""wakes"" the mouse back up. Anyway for the most park it works great, and I cant complain, I would def recommend it",Adesso Touchpad  keyboard review
5,0,07-05-2016,Fantastic product fantastic company,Five Stars
3,0,06-08-2012,"They changed the design, not as great.",1344211200
1,11,08-10-2007,"Thankfully, I had saved my two very old batteries (for main phone plus extension); I thought they were pretty drained because they didn't last long, but when I put in these new ones, they lasted about half as long!!!!  Please, please, when you read positive reviews of batteries here, keep in mind that some are posted by the company owner and/or friends and family.  But take it from me, a totally objective person, that I feel I just threw out a bunch of money.  Unfortunately, I've disposed of the packaging and don't have the time to pack up these batteries and get them over to the post office to attempt to get a refund.  Phones are so inexpensive now, anyway, you'd be much better off taking the money you would have spent on these batteries and putting them toward a new telephone.  To give the manufacturer the benefit of the doubt, my guess is that they're not intentionally being underhanded -- the batteries, like the phones they fit, are probably fairly old and simply have lost their juice sitting on a shelf.",These batteries LAST A SHORTER TIME THAN MY ALMOST DEAD ONES!!
1,0,26-04-2018,had issues,had issues
3,0,26-11-2014,Was not able to run it past 2133MHz. Picked up some 2400Mhz Crucial and am running it at 3200Mhz. Go figure!,Was not able to run it past 2133MHz. Picked ...
3,0,22-06-2015,"great card, cant overclock worth shit",1434931200
5,0,11-10-2013,Excellent,1381449600
4,0,20-09-2014,I received it.,Four Stars
2,0,22-04-2014,For some reason. I cannot get this drive to ...,1398124800
1,0,11-01-2016,One Star,1452470400
5,0,10-01-2018,"I am liking this! My phone's headset jack is small, so this actually fit WITHOUT needing a separate adapter. It connected right into the jack. Yay! I forget the sizes, but I am sure it is in the specification section of this product's information. It does just what I wanted.",I am liking this! No adapter for my cordless phone needed.
1,10,28-01-2013,The cover over the wiring connections on the big plug (the one that goes into the tablet) immediately came off the first time I removed the plug from the tablet.,Cover on Big Plug Broken
2,6,17-01-2003,"I've owned and used this mouse for about 2 weeks and here's my experience.
First, the pluses:
-great, sleek looks
-charger built into the receiver unit
-works great on FLAT surfaces only
-low battery LED indicator
the minuses:
-tracking is TERRIBLE on ALL OTHER SURFACES, ie:  carpet, blanket, couch fabric, matress, etc.
-Logitech drivers will disable certain built in features of Windows XP, many incompatibility issues w/other software
-range is worse than the MS Intellimouse Explorer Wireless
If your mouse sits on a desk all day, I honestly don't think you need a wireless mouse.  However, if you need the range, versatility, and freedom because you have a living room/bedroom/familyroom pc setup where you may want to use the mouse on some surface other than a desktop, wireless is the way to go...but Logitech is DEFINITELY NOT the way to go.
I couldn't believe how horrible this product performed after reading so many rave reviews about it, so I returned my first MX700 for another brand new one, but that one still had the same problems.  I guess none of the reviews tested this unit on other surfaces besides a desktop.
Feel free to buy the MX700 and test it out on your own but if you plant to use this mouse on anything but a flat surface, make sure you save your receipt and box because you'll most likely want to return it later.  I gave my MX700 away to my little brother who will use it at his desk exclusively and I went out and bought the MS Intellimouse Explorer Wireless and, to my surprise, I've never had a SINGLE tracking problem using it on textured and non-flat surfaces.  We've even wrinkled up a blanket and tested both mice:  the MSIEW worked flawlessly, the MX700 was a joke.  Even my little brother wants to Ebay his MX700 now and get the MSIEW.
Some ppl complain about the MSIEW's lag time due to it's sleep mode and it's only about 1/2sec, all I do is nudge the mouse as I place my hand on it to wake it up before I use it and that works fine.  Trust me, it's alot less inconvenient than you think and A WHOLE HECK OF ALOT less frustrating than watching your cursor jitter and dance all over your screen because of tracking problems.
Bottom line is, if you're only going to use your mouse on a desk, get this one...but, if you need your mouse to work on a wide range of surfaces, get the MSIEW.  Personally, I think the whole point of wireless is that you don't plan to use your mouse on a desk, because if it's less wires on your desk that you're after, remember that EVERY wireless device needs to have a receiver on the desk and that, my friend, still has wires.  (until they come up with a wireless receiver for the wireless receiver) =P
Hopefully someday, either Logitech or Microsoft will combine the best features of these two mice into one product.",Doesn't live up to the hype
1,0,30-09-2013,"The info about tripod compatibility in the listing is not really specific, but I can confirm that it fits the 055CXPRO4 model tripod.  You do have to wrestle the rubber end piece off of the column before inserting it into the tripod, and wrestle it back on once installed. Repeat the struggle every time you swap it out with the regular column.

With this short center column and this tripod, the lowest height achievable for the platform on which the ballhead will sit is 12 inches from the ground.  This is quite a bit higher than Manfrotto states for my tripod (4.53 inches), and is not acceptably low in my opinion.  Forget about Manfrotto if you want to do macro shots, or any shots, from close to the ground.  I am very unhappy with the ensemble because it cannot be set low enough, contrary to Manfrotto's false specification.  Try Really Right Stuff, as I wish I had done.",Compatible with my Manfrotto 055CXPRO4 tripod -- but still not a low platform.
5,0,14-04-2009,Canon Digital Rebel XSi 12MP Digital SLR Camera (Black Body Only),1239667200
2,0,13-11-2014,Two Stars,1415836800
2,0,16-03-2012,Install on cable just fine but don't work well with 'Monster Cable SS4 Multi-Speaker Selector',1331856000
3,0,07-06-2015,"Works, but not well made.",Three Stars
5,0,14-11-2014,Nice,Five Stars
2,0,21-04-2009,Cheap and built that way,1240272000
3,0,17-09-2016,do not that good,Three Stars
5,0,06-07-2015,... the price the quality of the wire seems really good. Works exactly as I'd expected and haven't experienced ...,1436140800
5,0,28-04-2017,"Worked great to mount our 17"" Proscan TV in our 1969 Airstream.",Five Stars
1,0,31-01-2015,"A very flaky unit, we purchased it even after reading mixed reviews, but as the others said it stopped showing video through one port after a while. Sent it back for a refund.","A very flaky unit, we purchased it even after ..."
5,0,17-12-2013,This is my first time using a SPOT and I am very impressed with it at first impression. Will follow up with more after use on the water.,SPOT on
5,0,15-01-2017,This was a great purchase and has help kept my keyboard clean and dust free.,Five Stars
4,0,07-05-2015,"Not 8 gauge, probably not even 10. Worked fine for my GF's crummy no brand amp and subs. Don't purchase for any decent setup.",Worked fine for my GF's crummy no brand amp and subs
2,0,20-11-2014,Two Stars,1416441600
4,8,23-03-2012,"After seeing that this was about $1 cheaper than Kodak BW400CN, I decided to give it a go. One of my Magic Lantern guides mentioned this film as intriguing, and that it something everyone should try once! Well, I did, and this is what I found:

PROS
- In the right conditions, grain is very fine compared to other 400ISO films
- Produces relatively sharp images
- In the right conditions, it has excellent contrast

NEUTRAL
- C41 process, can be developed at any place that develops film

NEGATIVE
- Without great lighting, grain becomes overpowering in larger prints (no, really)
- Doesn't deal with high dynamic range too well in bright sun, i.e. sometimes TOO contrasty

Overall, I'll keep a small stock of this when traveling and I can't develop my own film, but I much prefer true black and white films as a rule. If you are going on a sun-filled vacation, this is one you want to leave at home - even for a 400ISO film it doesn't do well in the sun. I much prefer how Kodak's BW400CN interprets dynamic range and contrast, and while this was an advanced film in its time, I can't understand how it has managed to stick around aside from the amateur market. Fun to try, probably a good one for a day of non-essential shooting! I usually LOVE Ilford films - if you look at my fridge it probably accounts for 80% of my stock - but this one seems to be one of those ""convenience over quality"" decisions companies make sometimes.","Interesting, not a game-changer."
5,0,07-08-2016,Five Stars,1470528000
4,0,27-08-2013,Good Kit,1377561600
2,0,12-03-2013,I've pooped more useful things.,1363046400
5,0,05-03-2018,"Originally sought out to sew my own holster from a piece of elastic, but this was a reasonably priced holster for my Apple Pencil and charger adapter.  The quality was very comfortable to the touch.  I would easily recommend this to my friends who need a way to carry their Apple Pencil with their iPad Pro.

The only problem I have is very minor as it can easily be resolved.  The holster gets in the way of placing your iPad on a flat surface.  The solution is to either remove the holster or the Smart Cover to rest your iPad on a flat surface if needed.",Price and Quality
4,0,04-03-2015,Don't use them a lot but they are nice when needed,1425427200
3,0,29-06-2013,Budget Strike,1372464000
4,0,05-10-2014,"I will say up front I did not buy this from amazon but its the item I am reviewing not amazon. I like this deck not love it, it has been in my vehicle and operating however there are flaws.
1. Due to the design the volume knob is pretty close to the screen, so in accessing the volume it is very easy to touch the screen and restart the song.
2. All songs of mine are music videos and I find accessing the list very tedious and difficult
3. it would have been nice to show the name of the video that was about to play.
4. would have preferred a usb interface on the deck itself instead there is a cable which I have hanging by my glove box in which I have to plug in my flash drive.
5. All songs downloaded must be re coded to mpeg2 or else it won't read the file so mp4 from youtube is out",LIKE NOT LOVE
5,0,19-03-2015,work as intended,Five Stars
2,0,10-02-2015,Two Stars,1423526400
4,2,25-05-2015,"I choose this subwoofer because of its low price and because it was good enough for what I needed.  I have a couple of outdoor Yamaha speakers in my patio powered by a Lipai amplifier and they give me a perfect sound, even louder than what I really need.  However, my Lipai has a choice to connect a subwoofer so I was looking for a cheap and enclosed unit which can provide a little bass to my Yamahas.  The result is awesome; now the sound in my patio is perfect for outdoor cooking and parties with friends; the sound was already good with the Yamahas but this addition is the perfect complement.  I don't need an extremely loud sound and I don't even have an amplifier with all that power to do that, so I don't know how this unit would perform for higher demand applications but it fits perfect for me.",Perfect for my needs
1,0,26-04-2015,Got swapped to a different model by phone and it arrived with screen uniformity issue and damage - Having to get fixed with LG's help.,Arrived with defective screen - LG helping me out luckily
5,0,14-12-2017,Good product!,1513209600
1,0,02-12-2013,Stay away.,1385942400
5,0,08-02-2017,"Cheap, worked, Love it!",Love it!
5,0,14-07-2016,Five Stars,1468454400
2,21,11-09-2013,DO NOT BUY THIS PRODUCT,1378857600
3,0,02-05-2015,Eh,1430524800
3,0,26-11-2014,ok not as clear as jbl charge. for the ...,1416960000
3,0,14-10-2014,Cheap subwoofer for a cheap price.,you get what you pay for.
5,0,24-10-2014,Five Stars,1414108800
3,0,18-12-2015,"Having issues with the discs, one out every ten or so is bad. Only guess is a bad batch since have had good results in the past.",Probably bad batch
2,0,26-02-2015,I bought these used and returned them. One of the speakers was broken. Never really got to play them or use them.,I bought these used and returned them. One of ...
3,0,13-09-2014,You have to make sure you transfer the pictures over to your mobile device right away or your risk losing your pictures.  I made the mistake to wait a couple days before transferring the photos to my iPhone apps and most pictures were gone/corrupted.,Not very reliable.
4,0,07-05-2010,Good - could be better,1273190400
4,0,27-12-2011,"These are fantastic speakers for the price.  I purchased the RTi4 instead of the A1's.  They are identical in all respects except some exterior detailing.  These speakers deliver great clear highs, meaty mids, and great bass.  I paired these speakers with an Onkyo TX-NR609 receiver and a Yamaha sub, and they're amazing for the price.",Great sounding bookshelves at a great price
2,0,13-09-2010,$10.84 Says it all!  I did not Like these!,1284336000
3,0,28-02-2014,Works well for a quick answering device,1393545600
1,5,17-09-2015,"Bummed, it didn't work. I fitted the tray ...",1442448000
2,0,07-08-2014,"This looks like a great product but with any sort of case on one of the larger phones you may have problems.  My 5.5"" OnePlus One with a Cruzerlite tpu case would not stay secure and kept popping out.  The phone rests on the very edge of the pinchers.  If the pinchers were a little longer then this would be a great product for me but as it is, this mount is not secure enough for my liking.",Beware if you have a larger phone
3,0,27-05-2015,"Make sure your receiver or device can accept these.  I really wanted these to work out.  I went through and wired all 7 speakers with these only to find out, they are spaced to close to each other to fit in my Yamaha receiver.  The spacer is molded plastic and can not be adjusted.",Make sure your device can accept these.
2,0,08-07-2017,Didn't work for me,1499472000
2,2,10-12-2014,"Had to try this again; arthritis in the fingers makes it difficult with a standard keyboard.  However, there is a rather long reach to the ""t"", ""b"", and the ""y"" as well. Fingers don't like being stretched these days.  The worst part is that this keyboard teeter-tottered on my desk, which is perfectly flat, by the way.  There are no soft ""legs"" on this board which might mitigate this wobbling.  The one-piece plastic case appears to be slightly warped, meaning you must chase it around on the desktop, repeatedly bringing it back in front of you.  That was the deal breaker for me (us - my wife also suffers from arthritis).  I used one of these many years ago, and it worked fine.  As I and the product have aged, it seems that key compromises have been realized - - - inclusively.  They just don't make things like they used to . . . . . .",Not what it used to be
5,0,15-09-2016,Great Stylus with replaceable nib,1473897600
1,0,21-11-2014,"didn't work on my TASCAM DR-07MKII Portable Digital Recorder, ...",1416528000
1,0,20-07-2015,Not what I am looking for. I returned and purchased another one from best buy.,I returned and purchased another one from best buy.
1,0,08-11-2014,Don't buy this piece of crap.,1415404800
4,0,20-05-2011,"Works well, good price",1305849600
5,0,15-04-2014,"Paid $80 for my old LG a year ago, now it's worth $20 compared to this quality and extra features.
The 2D to 3D up conversion is not as good as I thought, I needed to place myself directly in line with the
center of my VIZIO M551D-A2 55"" 1080p 240Hz LED 3D HDTV to avoid shadows, after that
I could only notice a slight 3D image mostly from any lettering (closed caption etc.)
so I won't be using that feature!",Better than my old LG
2,0,16-11-2010,Think of it as disposable.,1289865600
3,0,24-12-2013,"This same screen sells for much more in Office Supply chains.  Average security and fit well, which is always an issue with these screens.",Not worth it
1,22,12-03-2015,"Got this telescope a few days before christmas, for my 6-year-old's ""big gift"" of the year. It worked when I set it up, but the computer died completely on Christmas night, when we first went out to use it. It was a major bummer, and really sucked to kill his Christmas.

The only way to try and fix the computer was to buy a serial adapter cable from them (and update the computer's firmware), since it doesn't take a normal serial cable. I'm a nerd, and I even attempted to make my own, but it was no good.

Major bummer",The telescope that ruined Christmas
5,0,17-10-2011,Shipped to Afghanistan very quickly. I use my computer quite often and the keyboard gets dirty. This product cleans it up great and was very easy to use.,Great product.
1,0,05-01-2015,"I bought these intending to use them with heated motorcycle gear, but the fit is off just enough from the standard to render them useless.",but the fit is off just enough from the standard to render them useless.
2,0,23-02-2015,shoddy craftsmanship,1424649600
1,0,24-09-2014,"Does not fit UV-5RE Plus
Must be modified.
If I wanted to ""rig it"" I would have bought something else.",Does not fit UV-5RE Plus Must be modified. If ...
3,0,04-04-2010,"I was disappointing based on previous reviews. The satellites were fuzzy, paper resonant, and lacking clarity. I disassembled, glued symmetrical shoe goo stabilizers to the cones and improved the sound tremendously - went from a 2 star to 4. But I rated it a 3. The sub is boomy but adequate. I think the thin box needs reinforcement.",flimsy sattelite drivers vibrate
1,0,15-01-2013,Not sure if I should penalize these discs or the LightScribe writer in general,1358208000
2,0,07-11-2014,Two Stars,1415318400
5,4,05-05-2014,All I can say is W O W ****,1399248000
4,0,18-03-2015,"Good economical charger, handles Asus T100A 3775 tablet without issue when few others will.",1426636800
5,0,10-01-2015,Well made Leviton quality.,Well made Leviton quality.
1,3,26-07-2010,poor vision telescope,1280102400
3,0,07-01-2013,Good price and good quality,1357516800
2,0,12-02-2018,CRAP,Two Stars
5,0,12-07-2017,Best rated drive I could find,1499817600
4,0,04-09-2015,Nothing to write home about.  It's a nice case and does the job of protecting the screen when not in use.,It's a nice case and does the job of protecting the screen ...
5,0,03-07-2014,Awesome product. Built to last.,Five Stars
4,0,27-01-2018,Small and expandle,1517011200
3,0,18-01-2017,For the price it works for me,1484697600
3,0,05-06-2014,"I love the fact I can access 4 more hard drives on my computer--which I did by using a 5.25"" bay adapter to hold 4 2.5"" hard drives, but I don't like the fact I get the NO AHCI warning at the very beginning and have to wait a few more seconds for it to clear. Haven't figured out how to get rid of the in Windows 7 Pro 64",hit and miss
5,0,12-06-2013,"Got this card for my grandma for her new Sony CX220 camcorder which she's loving! This card is a GREAT value! For the price, it's very cheap! And it's a Sony card, so that's great. If you're not a stickler for a blazing fast card, this card will be good enough, especially for the price, name brand, and capacity!",Great quality and great price!!!
2,0,22-03-2016,Might as well pay for internet,1458604800
4,0,25-03-2016,Works pretty well,Four Stars
2,0,27-07-2014,Not as good as they should be.,1406419200
5,0,03-06-2008,"I have been using this mouse for the last 18 months; it is by far the best mouse I have ever used. It is the right shape and size for my medium sized hand, and the buttons are not too stiff. The side buttons are place in just the right place to easily hit them without moving off the other buttons or changing the hand placement on the mouse. That said one of the best things about this mouse is that it never goes to sleep. It is not like other mouse's that will stop working or go to sleep in the middle of using it. In fact even when you come back to it after some time it is always ready to work. I don't use it for the games that require the special adjustments that can be done with this mouse, so I can't rate it for those reasons. But I do give it 5 stars for everything I have ever used it for.",The mouse that never stops.
1,0,18-04-2016,Did not work,1460937600
1,0,01-03-2016,One Star,1456790400
5,0,23-12-2013,Could it be easier?,1387756800
1,0,13-12-2009,I been buying this headphones for years and they are very very good. The sound is outstanding. But I bought and used for  5 days and the right speaker went out. WTF??!!! I wish they would send me a replacement.,Not working!!!
3,0,18-04-2014,Everything I expected and needed. added to the enjoyment of the games. easy to read and understand. GREAT PICTURES TO ADD TO THE UNDER STANDING,Everything I expected and needed. added to the enjoyment of the games. easy to read and understand.
3,0,23-01-2014,"This is a cute case, but it's not quite as cute in person as it is online. The ridge for keeping it upright is also just a little too shallow and falls down.  This might be improved over time, but I returned this.",Cute but doesn't stay up
5,0,05-05-2009,You get what you pay for,1241481600
1,0,30-04-2012,Total Garbage,1335744000
1,11,08-09-2007,"I bought this camera because I have owned several Minolta Maxxum film cameras over the years including the origional Minolta Maxxum 7000 from the early 80s.  Since I already had several lenses I thought it was a no brainer purchase.

Until I went with a friend and shot photos at the Arizona Reinsanance festival.  He was there with his Canon 20D.

We both shot photos of the bird show and I compared photos later with what he had taken and what I got.

Then he let me borrow his camera and take some shots.

Let me tell you!!!

The auto focus on a Canon camera IS LIGHT YEARS AHEAD OF ANYTHING MINOLTA HAS!!!  His Canon with a 70 - 200 F4 L USM lens can focus from minium distance to infinity and take dozens of photos while I'm still trying to get my Minolta 5D to focus with any lens at any distance.  Since then I have tested a new Canon 30D with a Canon 400mm USM L 5.6 against my Minolta Maxxum 75 - 300 Lens.  The Canon lens can focus in micro seconds even faster then my 50mm Minolta Lens!!!!  You don't even want to hear how slow the 75 - 300 lens is not only can you not track birds in flight with the Minolta lens you are lucky to get the shot at all.

Then when comparing the shots taken in darker areas with higher ISO his shots at ISO 1600 looked better then mine at 400!!!

I ended up buying a Canon 400D Rebel XTi and what a shock.

I have tested my Minolta 5D and several of the new Sony Maxxum lens mount cameras back to back against my Canon and it's no contest.

Bottom line, if you want a camera that can focus on and track a bird IN FLIGHT! then get a Canon DSLR with USM focusing and forget the Minolta non-sense with their body driven focusing motor in the camera body.

My daughter had been using my Minotla 5D for awhile we were shooting some birds her with the Minotla and me with the Canon.  I handed her my Canon with a 70 - 200 2.8 L Lens and she aimed the camera out and focused and took her first shot.  She looked at me in disbelief!!  She said what the heck, how can it focus so FAST!!!  THIS IS AMAZING!!!!

If I had never compared I would have never know how much better a camera can be.

Go to any store and try a new Canon XTi Rebel or Canon 30D or 40D and see for your self!!

I have since put up my Minolta cameras and lens for sale.

Good luck Sony, you will need it.",Very slow auto focus very poor high ISO performance
2,0,29-04-2012,NOT Compatible with Peak Back Up Cam without Modification,1335657600
1,0,24-08-2016,"Bought this to EXTEND the manufacturer's warranty of a product I purchased.  After registering the product it shows the manufacturer warranty goes from July 20, 2016-July 20, 2017 and the Asurion plan goes from July 20, 2016-July 20, 2018.  It does not actually extend your warranty an additional two years as it is implied.  I will keep it and hope I do not have to use it.  I will update my review if I end up using it and Asurion takes care of the claim properly.",Bought this to EXTEND the manufacturer's warranty of a product ...
4,0,19-04-2018,Four Stars,1524096000
3,2,03-02-2014,"Pros:
-Underwater (yes tested this in a pool and worked fine)
-Stylish looks.
-Long Lasting battery.
Cons:
-Poor image quality even my cellphone takes better pictures.
-Bad light balance. It takes too long to balance pictures usually comes out very illuminated

Yes I tried everything on the best or finest options and even tried to manually adjust the light settings. For the price I cant complain and would reccomend it.",Great underwater camera!
4,0,18-07-2014,"Nice Aluminum enclosure, indepth review!",1405641600
5,0,12-06-2012,Outstanding product,1339459200
2,0,13-03-2015,"Stopped working after 1 year, no support or updates whatsoever.",Just OK
5,0,22-12-2014,Great case for your MacBook pro.  Looks great on and I am constantly getting complements on it.  It fits well and the bottom is easy to remove for cleaning (haven't attempted to remove the top yet).  Love that the case is clear so that it shows the aluminum casing of the Mac andthe hammered effect makes it really stand out.,Great case for your MacBook pro
4,0,16-11-2012,Dependable and Affordable,1353024000
1,0,05-04-2016,I would give it a zero if I could. Came with a hole in the front cover. Very cheaply made. Returned.,Very cheaply made.
4,0,12-01-2008,Good for Powershot A720IS,1200096000
3,0,06-03-2015,Three Stars,1425600000
2,0,20-09-2014,This adapter isn't even needed for the Midland 18-2442 Antenna and the Midland 75-822 radio.,Two Stars
1,2,28-07-2014,I don't know if the problem was with the supplied cable or the drive itself but it kept losing connection over and over. Amazon's return policy made the return easy. I bought a WD My Passport instead and am very happy with that one.,lost connection repeatedly
4,0,30-12-2013,I'm setting up a weather cam for my website and this was my pick of available outdoor cams.  I chose wisely.  This is easy to set-up with great picture quality.  I love the 8 camera pre-sets and the night vision is very good.  The one draw back is the lower mounting screws are hard to access without using a right angle screw driver or removing the camera and housing.  A right angle screw driver is not all that expensive and is the much easier of the two options I suggest.  The WiFi is impressive and this more than does the job I need it to do.,Easy to set-up and delivers a great picture
4,0,19-03-2009,I am impressed with the lens hood.  I am a beginner but found it much easier to take pictures in all periods of the day using the hood.,canon es-62 lens hood
5,0,04-05-2012,Just as Described,1336089600
5,5,17-10-2010,Better quality than I expected for the price.  Very durable.  Material is very water resistant and strong.  It was a good find for my old Dell 5150 Linux rig.  Decent padding.  I would definitely buy again in lieu of gambling on something else at this price point.,Your search can end here.
1,2,29-01-2009,misinformed,1233187200
1,3,14-12-2011,i buy this lens but stop focusing after light use  i was shooting at one my girls high school event so after a pause  taking photos this lens just stop working for not reason,fail
1,0,11-07-2015,Not even close to a fit...,1436572800
2,0,02-09-2016,"does not work with my camera, i even bought two of this, don't buy this",Two Stars
4,0,08-07-2015,"I haven't used it a lot so far, but ...",1436313600
5,0,04-11-2014,Five Stars,1415059200
5,0,20-01-2014,Excellent Screen protector,1390176000
2,0,16-09-2013,Not ready for Prime Time,1379289600
5,0,17-02-2014,protection plan,1392595200
2,0,30-07-2009,There's gotta be something better!,1248912000
2,2,30-07-2014,"I have two of these, one of which is clearly defective since it now goes through a set of batteries per week.  It seems I'm not stuck with a $60+ piece of plastic, since I'm sure it's out of warranty.","Iffy, since one out of the two eats batteries like candy"
1,0,09-02-2015,Disappointed in this cover because it does not allow the iPad to stand up as was shown in the picture and description. I had to reorder a different cover.,Does not stand up
2,0,28-03-2015,Only 2 of the ports work on mine and the third one gives just a staticky useless connection.  It didn't work with my Amazon Fire TV Stick at all.  It must interfere with the wi-fi connection and made the loading of everything constantly pause.,I don't recommened
1,4,15-11-2015,"I've had these for about 4 weeks or so, and a speak is rolling around inside the compartment and ruins the sound and thumps around inside. They are definitely comfortable, but have no lasting value whatsoever. I would recommend something else.",Speaker Inside Rolls Around
4,0,08-03-2018,Mostly I like  it .  I like the sturdy  feel of it and that  it  has the upright stand feature.  My old one had  a flexible front cover which was more comfortable for hand held use.  Just a matter of getting used to the change,Mostly I like it. I like the sturdy feel of it ...
3,0,02-01-2012,worked as designed but just,1325462400
2,2,03-05-2009,I'm rather surprised by these reviews,1241308800
