Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration
00054,-1977 April 11,00:17:50,45908,-49186,7,A,-0.0139,0.9927,0.4N,8.5E,89,330,26,00m44s
00055,-1977 October 5,18:43:53,45897,-49180,12,A,-0.1747,0.9713,6.9S,84.7E,80,30,104,02m53s
00056,-1976 March 30,11:26:06,45885,-49174,17,T,0.7436,1.0404,37.9N,174.7E,42,142,197,03m05s
00057,-1976 September 23,22:12:57,45873,-49168,22,A,-0.9053,0.9215,48.2S,2.8W,25,46,678,07m10s
00058,-1975 February 18,19:47:20,45863,-49163,-11,P,-1.1099,0.807,62.0S,155.5W,0,231,,
00059,-1975 March 20,03:32:45,45862,-49162,27,P,1.4354,0.1811,60.9N,115.5W,0,105,,
00060,-1975 August 14,04:48:27,45852,-49157,-6,P,1.3569,0.3516,62.7N,73.8E,0,318,,
00061,-1974 February 8,10:34:06,45840,-49151,-1,T,-0.423,1.0179,43.3S,131.6W,65,335,68,01m28s
00062,-1974 August 3,11:35:27,45828,-49145,4,H,0.5677,1.0057,55.0N,147.6W,55,205,24,00m27s
00063,-1973 January 28,19:13:23,45817,-49139,9,A,0.3168,0.9602,4.2S,82.0E,72,166,152,04m54s
00064,-1973 July 24,01:18:22,45805,-49133,14,T,-0.1865,1.0601,12.9N,11.3W,79,10,201,05m38s
00065,-1972 January 17,20:43:43,45793,-49127,19,P,1.0502,0.8677,64.4N,38.0E,0,157,,
00066,-1972 July 12,18:09:32,45781,-49121,24,T,-0.9033,1.0603,40.7S,89.6E,25,8,464,04m50s
00067,-1972 December 7,03:38:57,45772,-49116,-9,P,-1.25,0.5347,68.4S,154.4E,0,162,,
00068,-1971 June 2,23:50:31,45760,-49110,-4,A,0.9435,0.9992,81.4N,79.8W,19,87,8,00m03s
00069,-1971 November 26,12:22:23,45748,-49104,1,H,-0.506,1.0069,47.7S,175.3E,59,15,28,00m34s
00070,-1970 May 23,05:53:04,45736,-49098,6,A,0.1869,0.9625,26.8N,82.7W,79,167,138,04m23s
00071,-1970 November 16,02:41:09,45725,-49092,11,T,0.1785,1.0442,4.4S,29.3W,80,193,150,04m10s
00072,-1969 May 12,06:45:38,45713,-49086,16,A,-0.5839,0.9485,22.1S,83.5W,54,344,231,06m24s
00073,-1969 November 5,18:10:59,45701,-49080,21,T,0.8487,1.0233,45.1N,115.1E,32,202,149,01m51s
00074,-1968 March 31,22:13:17,45692,-49075,-12,P,1.389,0.2843,71.5N,42.9W,0,98,,
00075,-1968 April 30,09:34:02,45690,-49074,26,P,-1.3203,0.411,71.2S,70.6W,0,298,,
00076,-1968 September 25,15:13:22,45680,-49069,-7,P,-1.2916,0.4628,71.5S,69.3E,0,72,,
00077,-1967 March 21,11:03:12,45668,-49063,-2,T,0.5876,1.0537,27.8N,163.6W,54,160,218,04m38s
00078,-1967 September 14,16:59:19,45656,-49057,3,A,-0.6263,0.9232,27.4S,104.6E,51,18,368,09m27s
00079,-1966 March 11,03:42:14,45645,-49051,8,T,-0.1456,1.0719,18.7S,38.7W,82,344,236,06m14s
00080,-1966 September 3,16:35:18,45633,-49045,13,A,0.0794,0.939,18.5N,123.3E,85,194,227,07m41s
00081,-1965 February 28,19:33:01,45621,-49039,18,T,-0.889,1.0279,71.9S,125.0E,27,312,208,01m44s
00082,-1965 August 23,21:25:13,45610,-49033,23,A,0.7919,0.9831,67.9N,73.2E,37,209,98,01m14s
00083,-1964 January 19,15:11:49,45600,-49028,-10,P,1.1713,0.6686,66.7N,145.4E,0,180,,
00084,-1964 July 14,01:14:53,45588,-49022,-5,P,-1.1238,0.7821,65.8S,0.1E,0,351,,
00085,-1964 August 12,09:35:44,45586,-49021,33,P,1.454,0.154,68.5N,25.2E,0,340,,
00086,-1963 January 7,15:19:18,45577,-49016,0,A,0.4901,0.9215,5.4N,144.8E,61,185,340,11m26s
00087,-1963 July 3,18:12:59,45565,-49010,5,T,-0.4077,1.0646,0.1S,98.3E,66,352,231,06m12s
00088,-1963 December 27,15:54:04,45553,-49004,10,A,-0.2134,0.9464,35.9S,129.6E,77,11,202,05m54s
00089,-1962 June 23,08:20:59,45541,-48998,15,T,0.3533,1.0193,43.0N,124.2W,69,164,71,01m41s
00090,-1962 December 16,23:03:15,45530,-48992,20,A,-0.8949,0.9893,76.3S,47.3W,26,77,85,00m39s
00091,-1961 June 12,15:51:46,45518,-48986,25,P,1.1676,0.6797,63.1N,10.3W,0,38,,
00092,-1961 November 7,01:46:11,45508,-48981,-8,P,1.169,0.691,61.1N,50.2E,0,247,,
00093,-1961 December 6,12:31:33,45506,-48980,30,P,-1.5144,0.0428,62.9S,44.7E,0,139,,
00094,-1960 May 2,02:39:40,45497,-48975,-3,A,-0.8919,0.9479,45.2S,4.7E,27,319,410,04m49s
00095,-1960 October 26,16:45:10,45485,-48969,2,T,0.5271,1.0175,21.0N,132.2E,58,210,70,01m31s
00096,-1959 April 21,07:07:29,45473,-48963,7,A,-0.0923,0.9977,0.6N,94.7W,85,331,8,00m14s
00097,-1959 October 16,03:01:44,45462,-48957,12,A,-0.1688,0.9665,11.1S,42.0W,80,30,122,03m23s
00098,-1958 April 10,18:45:52,45450,-48951,17,T,0.6719,1.0468,37.0N,64.7E,48,142,206,03m32s
00099,-1958 October 5,06:02:20,45438,-48945,22,A,-0.8914,0.9183,49.8S,124.6W,27,49,664,07m16s
00100,-1957 March 2,03:43:57,45428,-48940,-11,P,-1.1573,0.7169,61.4S,74.5E,0,240,,
00101,-1957 March 31,11:10:33,45426,-48939,27,P,1.3744,0.2986,60.7N,119.5E,0,96,,
00102,-1957 August 25,12:12:43,45417,-48934,-6,P,1.3938,0.2884,62.0N,48.2W,0,308,,
00103,-1957 September 24,05:12:58,45415,-48933,32,Pb,-1.566,0.0061,60.7S,147.1W,0,77,,
00104,-1956 February 19,18:25:24,45405,-48928,-1,T,-0.4649,1.0176,42.2S,111.9E,62,330,68,01m25s
00105,-1956 August 13,19:17:10,45393,-48922,4,H,0.61,1.0054,54.4N,100.8E,52,212,23,00m25s
00106,-1955 February 8,02:47:50,45382,-48916,9,A,0.2811,0.9608,4.4S,33.4W,74,162,148,04m41s
00107,-1955 August 3,09:08:54,45370,-48910,14,T,-0.1359,1.0589,14.5N,130.1W,82,15,196,05m22s
00108,-1954 January 28,04:09:29,45358,-48904,19,A+,1.0192,0.9207,63.4N,84.9W,0,147,-,-
00109,-1954 July 24,01:54:42,45347,-48898,24,T,-0.8494,1.058,34.1S,31.5W,32,12,361,04m51s
00110,-1954 December 18,11:52:50,45337,-48893,-9,P,-1.2518,0.5318,67.3S,17.7E,0,173,,
00111,-1953 June 14,06:46:26,45325,-48887,-4,P,1.0223,0.9489,68.0N,99.1E,0,13,,
00112,-1953 December 7,21:03:10,45314,-48881,1,H,-0.505,1.0107,50.8S,46.4E,59,10,43,00m52s
00113,-1952 June 2,12:18:03,45302,-48875,6,A,0.2734,0.9595,34.9N,178.5E,74,170,153,04m34s
00114,-1952 November 26,11:34:24,45290,-48869,11,T,0.1792,1.0452,7.7S,164.7W,80,190,153,04m18s
00115,-1951 May 22,13:02:16,45279,-48863,16,A,-0.4945,0.9502,13.1S,176.9E,60,348,209,06m34s
00116,-1951 November 16,03:00:41,45267,-48857,21,T,0.852,1.0211,42.4N,22.8W,31,198,137,01m44s
00117,-1950 April 12,05:14:40,45257,-48852,-12,P,1.4542,0.1642,71.5N,164.0W,0,85,,
00118,-1950 May 11,16:12:21,45255,-48851,26,P,-1.2352,0.5621,70.6S,174.6E,0,311,,
00119,-1950 October 6,23:18:01,45246,-48846,-7,P,-1.3058,0.4387,71.7S,67.9W,0,86,,
00120,-1949 April 1,18:33:43,45234,-48840,-2,T,0.6496,1.0576,36.0N,77.8E,49,157,248,04m39s
00121,-1949 September 26,00:37:49,45222,-48834,3,A,-0.6477,0.9197,32.8S,14.4W,49,21,394,09m25s
00122,-1948 March 21,11:25:32,45211,-48828,8,T,-0.0878,1.0742,11.4S,158.1W,85,343,242,06m31s
00123,-1948 September 14,00:12:27,45199,-48822,13,A,0.0521,0.938,13.1N,6.6E,87,196,231,07m51s
00124,-1947 March 11,03:11:51,45187,-48816,18,T,-0.839,1.0294,63.3S,4.3W,33,323,183,01m59s
00125,-1947 September 3,05:17:59,45176,-48810,23,A,0.7585,0.9839,61.0N,48.4W,40,209,88,01m15s
00126,-1946 January 29,22:46:25,45166,-48805,-10,P,1.2051,0.611,67.8N,18.9E,0,169,,
00127,-1946 July 25,09:01:49,45154,-48799,-5,P,-1.1756,0.6819,66.8S,129.1W,0,1,,
00128,-1946 August 23,17:40:35,45153,-48798,33,P,1.4157,0.2262,69.4N,109.9W,0,328,,
00129,-1945 January 18,22:51:51,45143,-48793,0,A,0.5161,0.9243,7.8N,28.7E,59,180,333,10m58s
00130,-1945 July 15,01:49:25,45131,-48787,5,T,-0.4692,1.0593,4.1S,18.5W,62,356,221,05m48s
00131,-1944 January 7,23:51:29,45120,-48781,10,A,-0.1977,0.9514,35.5S,11.1E,78,6,182,05m24s
00132,-1944 July 3,15:30:05,45108,-48775,15,H,0.2846,1.0139,40.3N,130.4E,73,170,50,01m16s
00133,-1944 December 27,07:31:39,45096,-48769,20,A,-0.8854,0.9946,80.4S,169.0W,27,69,41,00m20s
00134,-1943 June 22,22:27:06,45085,-48763,25,P,1.0914,0.8113,63.9N,120.4W,0,28,,
00135,-1943 November 17,10:40:46,45075,-48758,-8,P,1.1685,0.6919,61.6N,94.1W,0,237,,
00136,-1943 December 16,21:18:48,45073,-48757,30,P,-1.5092,0.0512,63.7S,98.4W,0,149,,
00137,-1942 May 13,08:59:51,45063,-48752,-3,A,-0.9784,0.9462,54.8S,81.5W,11,313,978,04m34s
00138,-1942 November 7,01:29:55,45052,-48746,2,H3,0.5284,1.0143,17.4N,2.2W,58,208,57,01m17s
00139,-1941 May 2,13:57:20,45040,-48740,7,Hm,-0.1717,1.0021,0.5N,161.9E,80,333,7,00m12s
00140,-1941 October 27,11:21:18,45028,-48734,12,A,-0.1649,0.9623,15.5S,169.1W,80,29,138,03m49s
00141,-1940 April 21,02:04:36,45017,-48728,17,T,0.5983,1.0524,36.8N,44.7W,53,143,213,03m56s
00142,-1940 October 15,13:56:25,45005,-48722,22,A,-0.8816,0.9156,52.3S,112.2E,28,53,662,07m17s
00143,-1939 March 12,11:31:58,44996,-48717,-11,P,-1.2114,0.6133,61.0S,53.1W,0,249,,
00144,-1939 April 10,18:42:36,44994,-48716,27,P,1.3086,0.4259,60.6N,4.1W,0,87,,
00145,-1939 September 4,19:47:20,44984,-48711,-6,P,1.423,0.2384,61.4N,172.6W,0,299,,
00146,-1939 October 4,13:00:58,44982,-48710,32,P,-1.5481,0.0367,60.5S,85.4E,0,86,,
00147,-1938 March 2,02:05:12,44972,-48705,-1,T,-0.5156,1.0169,41.0S,2.1W,59,327,67,01m21s
00148,-1938 August 25,03:09:40,44961,-48699,4,H,0.6444,1.005,52.6N,15.0W,50,217,22,00m23s
00149,-1937 February 19,10:09:18,44949,-48693,9,A,0.2352,0.9613,4.4S,145.3W,76,158,144,04m29s
00150,-1937 August 14,17:09:41,44937,-48687,14,T,-0.0934,1.0574,14.8N,108.7E,85,19,190,05m05s
00151,-1936 February 8,11:24:38,44926,-48681,19,An,0.9793,0.9202,53.9N,167.7E,11,148,-,07m38s
00152,-1936 August 3,09:46:19,44914,-48675,24,T,-0.8011,1.0548,29.8S,153.4W,37,17,300,04m40s
00153,-1936 December 28,20:02:32,44905,-48670,-9,P,-1.2579,0.5216,66.2S,117.4W,0,185,,
00154,-1935 June 24,13:43:01,44893,-48664,-4,P,1.0997,0.8073,67.0N,18.0W,0,3,,
00155,-1935 December 18,05:41:01,44881,-48658,1,H2,-0.507,1.015,53.2S,80.5W,59,4,60,01m11s
00156,-1934 June 13,18:42:52,44870,-48652,6,A,0.3594,0.9558,42.5N,81.0E,69,173,173,04m44s
00157,-1934 December 7,20:26:30,44858,-48646,11,T,0.1788,1.0468,10.4S,60.5E,80,186,158,04m28s
00158,-1933 June 2,19:20:26,44847,-48640,16,A,-0.406,0.9512,4.8S,77.7E,66,351,195,06m39s
00159,-1933 November 27,11:49:40,44835,-48634,21,T,0.8553,1.0194,40.1N,160.5W,31,193,128,01m39s
00160,-1932 April 22,12:14:51,44825,-48629,-12,Pe,1.521,0.0401,71.2N,75.4E,0,71,,
00161,-1932 May 21,22:52:55,44823,-48628,26,P,-1.1505,0.7135,69.9S,59.9E,0,323,,
00162,-1932 October 17,07:27:29,44814,-48623,-7,P,-1.3152,0.4228,71.6S,153.6E,0,101,,
00163,-1931 April 12,01:59:44,44802,-48617,-2,T,0.7158,1.0608,44.8N,40.6W,44,154,284,04m33s
00164,-1931 October 6,08:23:27,44790,-48611,3,A,-0.663,0.9167,38.0S,135.1W,48,23,418,09m19s
00165,-1930 April 1,19:02:33,44779,-48605,8,Tm,-0.0247,1.076,3.7S,83.6E,89,342,246,06m43s
00166,-1930 September 25,07:58:25,44767,-48599,13,A,0.0317,0.9374,7.7N,112.5W,88,197,233,07m55s
00167,-1929 March 22,10:43:01,44756,-48593,18,T,-0.7834,1.0303,54.5S,127.0W,38,329,164,02m13s
00168,-1929 September 14,13:20:52,44744,-48587,23,A,0.7326,0.9846,54.7N,172.8W,43,208,80,01m14s
00169,-1928 February 10,06:11:20,44734,-48582,-10,P,1.2457,0.5418,68.8N,105.8W,0,157,,
00170,-1928 August 4,16:56:04,44723,-48576,-5,P,-1.2216,0.5932,67.8S,99.4E,0,12,,
00171,-1928 September 3,01:53:33,44721,-48575,33,P,1.3838,0.2863,70.2N,112.4E,0,315,,
00172,-1927 January 29,06:15:48,44711,-48570,0,A,0.5491,0.9274,11.5N,85.7W,57,176,326,10m18s
00173,-1927 July 25,09:31:57,44700,-48564,5,T,-0.5249,1.0535,8.6S,137.3W,58,1,208,05m16s
00174,-1926 January 18,07:40:04,44688,-48558,10,A,-0.1741,0.957,33.5S,105.5W,80,0,159,04m50s
00175,-1926 July 14,22:44:43,44677,-48552,15,H,0.2216,1.0079,36.8N,22.8E,77,176,28,00m46s
00176,-1925 January 7,15:52:48,44665,-48546,20,H,-0.8696,1.0006,83.1S,91.4E,29,41,4,00m02s
00177,-1925 July 4,05:07:17,44653,-48540,25,P,1.0195,0.9342,64.8N,128.0E,0,19,,
00178,-1925 November 28,19:33:50,44644,-48535,-8,P,1.1693,0.6904,62.3N,121.8E,0,227,,
00179,-1925 December 28,06:00:28,44642,-48534,30,P,-1.4998,0.0675,64.7S,119.6E,0,159,,
00180,-1924 May 23,15:21:27,44632,-48529,-3,P,-1.0637,0.8577,61.8S,170.4W,0,307,,
00181,-1924 November 17,10:15:36,44620,-48523,2,H,0.5283,1.0116,14.2N,137.0W,58,204,47,01m06s
00182,-1923 May 12,20:45:04,44609,-48517,7,H,-0.2538,1.0059,0.2S,59.1E,75,335,21,00m36s
00183,-1923 November 6,19:44:18,44597,-48511,12,A,-0.1649,0.9588,19.8S,63.2E,80,28,152,04m14s
00184,-1922 May 2,09:19:50,44586,-48505,17,T,0.5213,1.0573,36.7N,152.8W,58,145,219,04m18s
00185,-1922 October 26,21:55:31,44574,-48499,22,A,-0.8763,0.9134,55.6S,12.7W,28,57,671,07m15s
00186,-1921 March 23,19:12:17,44565,-48494,-11,P,-1.2716,0.4978,60.7S,178.8W,0,258,,
00187,-1921 April 22,02:10:29,44563,-48493,27,P,1.2395,0.5603,60.7N,126.7W,0,79,,
00188,-1921 September 16,03:32:55,44553,-48488,-6,P,1.444,0.2026,61.0N,60.3E,0,290,,
00189,-1921 October 15,20:56:53,44551,-48487,32,P,-1.5362,0.0567,60.5S,44.0W,0,95,,
00190,-1920 March 12,09:36:57,44541,-48482,-1,T,-0.5721,1.0158,39.9S,114.4W,55,324,65,01m16s
00191,-1920 September 4,11:10:54,44530,-48476,4,H,0.6724,1.0046,49.9N,134.7W,48,220,21,00m21s
00192,-1919 March 1,17:22:05,44518,-48470,9,A,0.183,0.9619,4.1S,105.2E,79,155,140,04m17s
00193,-1919 August 25,01:18:07,44507,-48464,14,T,-0.057,1.0556,13.9N,14.5W,87,23,184,04m49s
00194,-1918 February 18,18:29:52,44495,-48458,19,A,0.9312,0.9255,46.0N,61.8E,21,148,755,07m30s
00195,-1918 August 14,17:45:39,44484,-48452,24,T,-0.7596,1.051,27.3S,83.1E,40,21,256,04m21s
00196,-1917 January 9,04:06:28,44474,-48447,-9,P,-1.2694,0.5017,65.2S,109.5E,0,195,,
00197,-1917 July 5,20:44:02,44463,-48441,-4,P,1.1718,0.6764,66.0N,135.7W,0,352,,
00198,-1917 August 4,07:51:37,44461,-48440,34,Pb,-1.5248,0.0346,63.5S,148.9W,0,34,,
00199,-1917 December 29,14:13:35,44451,-48435,1,T,-0.5141,1.0197,54.8S,154.9E,59,357,79,01m31s
00200,-1916 June 24,01:12:09,44439,-48429,6,A,0.4409,0.9519,49.4N,15.9W,64,178,197,04m53s
00201,-1916 December 18,05:14:10,44428,-48423,11,T,0.1747,1.0488,12.6S,73.1W,80,182,165,04m39s
00202,-1915 June 13,01:41:44,44416,-48417,16,A,-0.3194,0.9518,2.8N,21.3W,71,355,186,06m40s
00203,-1915 December 7,20:35:33,44405,-48411,21,T,0.8567,1.0182,38.2N,62.4E,31,188,121,01m36s
00204,-1914 June 2,05:36:42,44393,-48405,26,P,-1.0668,0.8639,69.0S,55.2W,0,335,,
00205,-1914 October 28,15:39:52,44384,-48400,-7,P,-1.3215,0.4125,71.3S,14.6E,0,115,,
00206,-1913 April 23,09:22:31,44372,-48394,-2,T,0.7853,1.0629,54.3N,159.8W,38,149,332,04m19s
00207,-1913 October 17,16:15:51,44361,-48388,3,A,-0.6726,0.9145,43.1S,103.1E,47,25,436,09m09s
00208,-1912 April 12,02:33:41,44349,-48382,8,T,0.0431,1.0769,4.3N,33.4W,88,162,249,06m48s
00209,-1912 October 5,15:53:35,44337,-48376,13,A,0.0182,0.9371,2.4N,126.0E,89,198,234,07m55s
00210,-1911 April 1,18:05:15,44326,-48370,18,T,-0.7212,1.0307,45.5S,114.4E,44,334,149,02m26s
00211,-1911 September 24,21:33:45,44314,-48364,23,A,0.7144,0.9854,48.8N,60.2E,44,207,73,01m14s
00212,-1910 February 20,13:23:40,44305,-48359,-10,P,1.2954,0.4569,69.7N,132.1E,0,145,,
00213,-1910 March 22,03:40:50,44303,-48358,28,Pb,-1.5388,0.0265,71.2S,61.6E,0,250,,
00214,-1910 August 16,00:59:14,44293,-48353,-5,P,-1.2603,0.5188,68.8S,34.8W,0,24,,
00215,-1910 September 14,10:16:33,44291,-48352,33,P,1.36,0.3312,70.9N,28.4W,0,302,,
00216,-1909 February 9,13:30:39,44282,-48347,0,A,0.5892,0.9307,16.3N,161.6E,54,172,320,09m28s
00217,-1909 August 5,17:20:50,44270,-48341,5,T,-0.5746,1.0475,13.5S,101.7E,55,5,193,04m38s
00218,-1908 January 29,15:22:41,44259,-48335,10,A,-0.1448,0.9628,30.3S,138.8E,81,356,136,04m13s
00219,-1908 July 25,06:03:48,44247,-48329,15,H,0.1634,1.0017,32.7N,86.7W,80,181,6,00m10s
00220,-1907 January 18,00:08:49,44236,-48323,20,H,-0.8487,1.0071,81.7S,4.7E,32,1,47,00m27s
00221,-1907 July 14,11:50:45,44224,-48317,25,A,0.9506,0.9452,82.7N,36.3E,18,29,673,03m30s
00222,-1907 December 9,04:25:19,44214,-48312,-8,P,1.1714,0.6864,63.1N,22.1W,0,218,,
00223,-1906 January 7,14:37:00,44213,-48311,30,P,-1.4864,0.0912,65.7S,21.5W,0,170,,
00224,-1906 June 3,21:45:37,44203,-48306,-3,P,-1.147,0.7138,62.5S,82.6E,0,316,,
00225,-1906 November 28,18:58:47,44191,-48300,2,H,0.5296,1.0095,11.6N,89.1E,58,200,38,00m56s
00226,-1905 May 24,03:36:37,44180,-48294,7,H,-0.3336,1.009,1.6S,45.0W,71,338,33,00m56s
00227,-1905 November 18,04:06:24,44168,-48288,12,A,-0.1653,0.9559,23.9S,63.9W,80,26,163,04m36s
00228,-1904 May 12,16:35:44,44157,-48282,17,T,0.4441,1.0613,36.6N,99.2E,63,148,223,04m39s
00229,-1904 November 6,05:56:20,44145,-48276,22,A,-0.8727,0.9118,59.4S,138.0W,29,60,680,07m10s
00230,-1903 April 3,02:45:51,44136,-48271,-11,P,-1.3369,0.3724,60.6S,57.2E,0,267,,
00231,-1903 May 2,09:35:23,44134,-48270,27,P,1.1681,0.6993,61.0N,111.5E,0,70,,
00232,-1903 September 26,11:27:50,44124,-48265,-6,P,1.4585,0.1777,60.7N,68.9W,0,281,,
00233,-1903 October 26,04:57:57,44122,-48264,32,P,-1.5275,0.0711,60.7S,174.7W,0,104,,
00234,-1902 March 23,16:57:33,44113,-48259,-1,T,-0.6371,1.014,39.4S,136.0E,50,322,61,01m07s
00235,-1902 September 15,19:22:56,44101,-48253,4,H,0.6925,1.0044,46.6N,101.3E,46,222,21,00m20s
00236,-1901 March 13,00:23:10,44090,-48247,9,Am,0.1217,0.9623,3.6S,1.2W,83,153,137,04m09s
00237,-1901 September 5,09:35:37,44078,-48241,14,T,-0.0279,1.0537,12.0N,140.2W,88,27,178,04m33s
00238,-1900 March 1,01:25:12,44067,-48235,19,A,0.8748,0.9302,41.1N,42.9W,29,146,523,07m09s
