Name,Author,User Rating,Reviews,Price,Year,Genre
First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction
First 100 Words,Roger Priddy,4.7,17323,4,2017,Non Fiction
First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction
Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Non Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2012,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fiction
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Non Fiction
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,Fiction
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2016,Fiction
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2017,Fiction
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2018,Fiction
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2019,Fiction
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,Non Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018,Non Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019,Non Fiction
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,2009,Non Fiction
Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Fiction
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,Fiction
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,Non Fiction
Gone Girl,Gillian Flynn,4,57271,10,2012,Fiction
Gone Girl,Gillian Flynn,4,57271,10,2013,Fiction
Gone Girl,Gillian Flynn,4,57271,9,2014,Fiction
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,Fiction
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2018,Fiction
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019,Fiction
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,Fiction
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,Non Fiction
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction
Guts,Raina Telgemeier,4.8,5476,7,2019,Non Fiction
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Non Fiction
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,Non Fiction
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fiction
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4,23973,12,2016,Fiction
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fiction
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fiction
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fiction
Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,Non Fiction
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,Fiction
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,2009,Non Fiction
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,Non Fiction
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2012,Non Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Non Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Non Fiction
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,2018,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2015,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2016,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2017,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2018,Non Fiction
Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,Non Fiction
Humans of New York,Brandon Stanton,4.8,3490,15,2013,Non Fiction
Humans of New York,Brandon Stanton,4.8,3490,15,2014,Non Fiction
Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,Non Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,Non Fiction
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,Non Fiction
"I, Alex Cross",James Patterson,4.6,1320,7,2009,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2017,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2019,Fiction
If I Stay,Gayle Forman,4.3,7153,9,2014,Fiction
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,Non Fiction
Inferno,Dan Brown,4.1,29651,14,2013,Fiction
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011,Fiction
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2019,Non Fiction
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2018,Non Fiction
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2019,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016,Non Fiction
JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,Fiction
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017,Non Fiction
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,Non Fiction
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,Non Fiction
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,Non Fiction
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2012,Non Fiction
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,Non Fiction
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,Non Fiction
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,Non Fiction
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,2018,Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2014,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2015,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2016,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Non Fiction
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Non Fiction
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009,Non Fiction
Life,Keith Richards,4.5,2752,18,2010,Non Fiction
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction
Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction
Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,Fiction
Looking for Alaska,John Green,4.5,8491,7,2014,Fiction
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction
Love You Forever,Robert Munsch,4.8,18613,5,2014,Fiction
Love You Forever,Robert Munsch,4.8,18613,5,2015,Fiction
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,Non Fiction
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,Non Fiction
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009,Non Fiction
Milk and Honey,Rupi Kaur,4.7,17739,8,2016,Non Fiction
Milk and Honey,Rupi Kaur,4.7,17739,8,2017,Non Fiction
Milk and Honey,Rupi Kaur,4.7,17739,8,2018,Non Fiction
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2015,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,Non Fiction
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,Non Fiction
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,Fiction
Night (Night),Elie Wiesel,4.7,5178,9,2016,Non Fiction
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,Non Fiction
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2014,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2015,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2016,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2017,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2018,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Fiction
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Fiction
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,Fiction
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2011,Non Fiction
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2012,Non Fiction
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,Non Fiction
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,Fiction
Orphan Train,Christina Baker Kline,4.6,21930,11,2014,Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2009,Non Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2010,Non Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2018,Non Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2019,Non Fiction
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,2010,Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2017,Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2018,Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2019,Fiction
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9,2016,Fiction
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2012,Non Fiction
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2013,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2009,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2010,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2011,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2012,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2013,Non Fiction
