id,season,match_no,date,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
24,2011/12,9th,Feb 14 2012,Duronto Rajshahi,171/8,Sylhet Royals,155/4,Marlon Samuels,Duronto Rajshahi,bat first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur,0,16,16 runs,David Orchard,Enamul Haque
22,2011/12,11th,Feb 15 2012,Sylhet Royals,152/4,Chittagong Kings,154/3,Mahmudullah,Sylhet Royals,bat first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,7,0,7 wickets,Enamul Haque,Jeremy Lloyds
21,2011/12,12th,Feb 15 2012,Khulna Royal Bengals,145/7,Duronto Rajshahi,146/4,Mushfiqur Rahim,Khulna Royal Bengals,bat first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,David Orchard,Masudur Rahman
20,2011/12,13th,Feb 16 2012,Barisal Burners,125/6,Chittagong Kings,126/2,Nasir Jamshed,Chittagong Kings,field first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,8,0,8 wickets,David Orchard,Enamul Haque
19,2011/12,14th,Feb 16 2012,Duronto Rajshahi,144/9,Dhaka Gladiators,130/7,Marlon Samuels,Dhaka Gladiators,field first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur,0,14,14 runs,Jeremy Lloyds,Sharfuddoula
18,2011/12,15th,Feb 18 2012,Khulna Royal Bengals,171/6,Sylhet Royals,169/8,Andre Russell,Sylhet Royals,field first,Khulna,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,0,2,2 runs,Enamul Haque,Jeremy Lloyds
345,2016/17,1st, Nov 8 2016,Chittagong Vikings,161/3,Comilla Victorians,132/8,Mohammad Nabi,Comilla Victorians,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,0,29,29 runs,Nahidul Islam,Najmul Hossain Shanto
344,2016/17,2nd, Nov 8 2016,Barisal Bulls,148/6,Dhaka Dynamites,149/2,Mehedi Maruf,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,8,0,8 wickets,Khalid Mahmood,Nadir Shah
343,2016/17,3rd, Nov 9 2016,Khulna Titans,133/8,Rajshahi Kings,130,Mahmudullah,Khulna Titans,bat first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,0,3,3 runs,Abdul Mazid,Mehidy Hasan Miraz
342,2016/17,4th, Nov 9 2016,Chittagong Vikings,124,Rangpur Riders,125/1,Mohammad Shahzad,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,9,0,9 wickets,Khalid Mahmood,Nadir Shah
341,2016/17,5th,Nov 10 2016,Khulna Titans,44,Rangpur Riders,45/1,Shahid Afridi,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,9,0,9 wickets,Mahfuzur Rahman,Ranmore Martinesz
340,2016/17,6th,Nov 11 2016,Comilla Victorians,129/8,Barisal Bulls,130/4,Thisara Perera,Comilla Victorians,bat first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,Nadir Shah,Ranmore Martinesz
339,2016/17,7th,Nov 11 2016,Dhaka Dynamites,138/5,Rajshahi Kings,139/4,Samit Patel,Rajshahi Kings,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,Khalid Mahmood,Masudur Rahman
10,2012/13,Final,Feb 19 2013,Dhaka Gladiators,172/9,Chittagong Kings,129,Mosharraf Hossain,Chittagong Kings,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,0,43,43 runs,Enamul Haque,Richard Illingworth
338,2016/17,8th,Nov 12 2016,Khulna Titans,127/7,Chittagong Vikings,123/9,Mahmudullah,Chittagong Vikings,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,0,4,4 runs,Mahfuzur Rahman,Ranmore Martinesz
337,2016/17,9th,Nov 12 2016,Dhaka Dynamites,170/6,Rangpur Riders,92,Mosaddek Hossain,Rangpur Riders,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,0,78,78 runs,Khalid Mahmood,Nadir Shah
336,2016/17,10th,Nov 13 2016,Barisal Bulls,192/4,Rajshahi Kings,188/6,Sabbir Rahman,Rajshahi Kings,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,0,4,4 runs,Anisur Rahman,Khalid Mahmood
335,2016/17,11th,Nov 13 2016,Khulna Titans,144/9,Comilla Victorians,131/9,Shafiul Islam,Comilla Victorians,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,0,13,13 runs,Ranmore Martinesz,Sharfuddoula
334,2016/17,12th,Nov 14 2016,Chittagong Vikings,163/3,Barisal Bulls,167/3,Dawid Malan,Barisal Bulls,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,7,0,7 wickets,Khalid Mahmood,Tanvir Ahmed
333,2016/17,13th,Nov 14 2016,Dhaka Dynamites,194/5,Comilla Victorians,161/9,Mehedi Maruf,Comilla Victorians,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,0,33,33 runs,Nadir Shah,Ranmore Martinesz
331,2016/17,15th,Nov 17 2016,Rangpur Riders,175/6,Barisal Bulls,163,Mohammad Mithun,Barisal Bulls,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,0,12,12 runs,Khalid Mahmood,Masudur Rahman
332,2016/17,14th,Nov 17 2016,Dhaka Dynamites,148/9,Chittagong Vikings,129/8,Mohammad Shahid,Chittagong Vikings,field first,Dynamites,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,0,19,19 runs,Nadir Shah,Ranmore Martinesz
330,2016/17,16th,Nov 18 2016,Chittagong Vikings,190/5,Rajshahi Kings,171/9,Mohammad Nabi,Rajshahi Kings,field first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,0,19,19 runs,Khalid Mahmood,Nadir Shah
329,2016/17,17th,Nov 18 2016,Comilla Victorians,122/5,Rangpur Riders,126/1,Mohammad Shahzad,Rangpur Riders,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,9,0,9 wickets,Ranmore Martinesz,Tanvir Ahmed
326,2016/17,20th,Nov 20 2016,Khulna Titans,151/7,Barisal Bulls,129,Mahmudullah,Barisal Bulls,field first,Titans,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,0,22,22 runs,Gazi Sohel,Ranmore Martinesz
324,2016/17,22nd,Nov 21 2016,Comilla Victorians,183/3,Chittagong Vikings,186/4,Mohammad Nabi,Comilla Victorians,bat first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,6,0,6 wickets,Habibur Rahman,Shohidul Islam
323,2016/17,23rd,Nov 22 2016,Khulna Titans,125/7,Rangpur Riders,129/3,Shahid Afridi,Khulna Titans,bat first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,7,0,7 wickets,Khalid Mahmood,Morshed Ali Khan
327,2016/17,19th,Nov 19 2016,Comilla Victorians,152/5,Rajshahi Kings,120,Sohail Tanvir,Rajshahi Kings,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,0,32,32 runs,Nadir Shah,Ranmore Martinesz
328,2016/17,18th,Nov 19 2016,Khulna Titans,157/5,Dhaka Dynamites,148,Mosharraf Hossain,Khulna Titans,bat first,Titans,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,0,9,9 runs,Khalid Mahmood,Masudur Rahman
325,2016/17,21st,Nov 21 2016,Dhaka Dynamites,182/4,Rajshahi Kings,184/7,Samit Patel,Dhaka Dynamites,bat first,Kings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,3,0,3 wickets,Nadir Shah,Ranmore Martinesz
316,2016/17,30th,Nov 27 2016,Rangpur Riders,124/6,Chittagong Vikings,128/1,Tamim Iqbal,Rangpur Riders,bat first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,9,0,9 wickets,Nadir Shah,Ranmore Martinesz
318,2016/17,28th,Nov 26 2016,Rajshahi Kings,154/8,Khulna Titans,145/6,Daren Sammy,Rajshahi Kings,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,0,9,9 runs,Mahfuzur Rahman,Rashid Riaz
322,2016/17,24th,Nov 22 2016,Chittagong Vikings,185/5,Barisal Bulls,107,Shoaib Malik,Chittagong Vikings,bat first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong,0,78,78 runs,Gazi Sohel,Ranmore Martinesz
321,2016/17,25th,Nov 25 2016,Rajshahi Kings,162/5,Rangpur Riders,150/5,Daren Sammy,Rangpur Riders,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,0,12,12 runs,Ranmore Martinesz,Sharfuddoula
317,2016/17,29th,Nov 27 2016,Barisal Bulls,132/6,Dhaka Dynamites,135/6,Shakib Al Hasan,Barisal Bulls,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,4,0,4 wickets,Khalid Mahmood,Masudur Rahman
319,2016/17,27th,Nov 26 2016,Dhaka Dynamites,170/4,Comilla Victorians,138/8,Shakib Al Hasan,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,0,32,32 runs,Khalid Mahmood,Nadir Shah
314,2016/17,32nd,Nov 29 2016,Barisal Bulls,142/8,Comilla Victorians,145/2,Nabil Samad,Barisal Bulls,bat first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,8,0,8 wickets,Khalid Mahmood,Mahfuzur Rahman
312,2016/17,34th,Nov 30 2016,Dhaka Dynamites,188/7,Rangpur Riders,146/8,Evin Lewis,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,0,42,42 runs,Khalid Mahmood,Nadir Shah
311,2016/17,35th,Nov 30 2016,Rajshahi Kings,124/7,Comilla Victorians,125/2,Mohammad Saifuddin,Rajshahi Kings,bat first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,8,0,8 wickets,Masudur Rahman,Rashid Riaz
39,2016/17,37th, Dec 2 2016,Khulna Titans,141/6,Comilla Victorians,142/5,Marlon Samuels,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,5,0,5 wickets,Ranmore Martinesz,Tanvir Ahmed
313,2016/17,33rd,Nov 29 2016,Khulna Titans,131/8,Chittagong Vikings,135/5,Tamim Iqbal,Khulna Titans,bat first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,5,0,5 wickets,Gazi Sohel,Ranmore Martinesz
310,2016/17,36th, Dec 1 2016,Barisal Bulls,161/4,Rajshahi Kings,144/7,Rayad Emrit,Rajshahi Kings,field first,Bulls,"Shere Bangla National Stadium, Mirpur",Mirpur,0,17,17 runs,Mahfuzur Rahman,Ranmore Martinesz
38,2016/17,38th, Dec 2 2016,Chittagong Vikings,134/6,Dhaka Dynamites,135/4,Dwayne Bravo,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,Khalid Mahmud,Masudur Rahman
320,2016/17,26th,Nov 25 2016,Barisal Bulls,119/5,Khulna Titans,120/4,Shuvagata Hom,Barisal Bulls,bat first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,Anisur Rahman,Khalid Mahmood
315,2016/17,31st,Nov 28 2016,Rajshahi Kings,128/7,Rangpur Riders,79,Mehidy Hasan Miraz,Rajshahi Kings,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,0,49,49 runs,Gazi Sohel,Rashid Riaz
37,2016/17,39th, Dec 3 2016,Rangpur Riders,154/5,Barisal Bulls,125,Mohammad Shahzad,Rangpur Riders,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,0,29,29 runs,Khalid Mahmud,Mahfuzur Rahman
36,2016/17,40th, Dec 3 2016,Chittagong Vikings,111/9,Rajshahi Kings,112/4,Afif Hossain,Rajshahi Kings,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,Nadir Shah,Ranmore Martinesz
35,2016/17,41st, Dec 4 2016,Comilla Victorians,170/6,Rangpur Riders,162/8,Rashid Khan,Rangpur Riders,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,0,8,8 runs,Khalid Mahmood,Nadir Shah
34,2016/17,42nd, Dec 4 2016,Dhaka Dynamites,158/7,Khulna Titans,159/4,Mahmudullah,Khulna Titans,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,Morshed Ali Khan,Ranmore Martinesz
33,2016/17,"Eliminator,", Dec 6 2016,Chittagong Vikings,142/8,Rajshahi Kings,143/7,Daren Sammy,Rajshahi Kings,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,3,0,3 wickets,Masudur Rahman,Ranmore Martinesz
32,2016/17,Qualifier, Dec 6 2016,Dhaka Dynamites,140/8,Khulna Titans,86,Andre Russell,Khulna Titans,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,0,54,54 runs,Khalid Mahmood,Nadir Shah
31,2016/17,Qualifier, Dec 7 2016,Khulna Titans,125/9,Rajshahi Kings,129/3,Samit Patel,Khulna Titans,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,7,0,7 wickets,Masudur Rahman,Ranmore Martinesz
545,2018/19,1st, Jan 5 2019,Rangpur Riders,98,Chittagong Vikings,101/7,Robbie Frylinck,Chittagong Vikings,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,3,0,3 wickets,Alex Wharf,Sharfuddoula
540,2018/19,6th, Jan 8 2019,Comilla Victorians,63,Rangpur Riders,67/1,Mashrafe Mortaza,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,9,0,9 wickets,Mahfuzur Rahman,Ranmore Martinesz
544,2018/19,2nd, Jan 5 2019,Dhaka Dynamites,189/5,Rajshahi Kings,106,Hazratullah Zazai,Rajshahi Kings,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,0,83,83 runs,Masudur Rahman,Ranmore Martinesz
543,2018/19,3rd, Jan 6 2019,Sylhet Sixers,127/8,Comilla Victorians,130/6,Shahid Afridi,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,4,0,4 wickets,Masudur Rahman,Ranmore Martinesz
539,2018/19,7th, Jan 9 2019,Sylhet Sixers,168/5,Chittagong Vikings,163/7,Nicholas Pooran,Sylhet Sixers,bat first,Sixers,"Shere Bangla National Stadium, Mirpur",Mirpur,0,5,5 runs,Mahfuzur Rahman,Ranmore Martinesz
538,2018/19,8th, Jan 9 2019,Khulna Titans,117/9,Rajshahi Kings,118/3,Isuru Udana,Khulna Titans,bat first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,7,0,7 wickets,Alex Wharf,Nadir Shah
537,2018/19,9th,Jan 11 2019,Dhaka Dynamites,183/9,Rangpur Riders,181/9,Al Islam,Rangpur Riders,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,0,2,2 runs,Masudur Rahman,Ranmore Martinesz
542,2018/19,4th, Jan 6 2019,Rangpur Riders,169/3,Khulna Titans,161/5,Rilee Rossouw,Khulna Titans,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,0,8,8 runs,Alex Wharf,Sharfuddoula
541,2018/19,5th, Jan 8 2019,Dhaka Dynamites,192/6,Khulna Titans,87,Hazratullah Zazai,Khulna Titans,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,0,105,105 runs,Alex Wharf,Nadir Shah
531,2018/19,15th,Jan 15 2019,Khulna Titans,128/9,Rajshahi Kings,103,Taijul Islam,Khulna Titans,bat first,Titans,Sylhet International Cricket Stadium,Stadium,0,25,25 runs,Alex Wharf,Tanvir Ahmed
535,2018/19,11th,Jan 12 2019,Khulna Titans,151/6,Chittagong Vikings,151/8,Robbie Frylinck,Chittagong Vikings,field first,Match,"Shere Bangla National Stadium, Mirpur",Mirpur,0,0,won the,Morshed Ali Khan,Ranmore Martinesz
534,2018/19,12th,Jan 12 2019,Dhaka Dynamites,173/7,Sylhet Sixers,141/9,Rony Talukdar,Dhaka Dynamites,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,0,32,32 runs,Alex Wharf,Mahfuzur Rahman
533,2018/19,13th,Jan 13 2019,Rajshahi Kings,135/8,Rangpur Riders,130/6,Zakir Hasan,Rangpur Riders,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,0,5,5 runs,Ranmore Martinesz,Sharfuddoula
536,2018/19,10th,Jan 11 2019,Rajshahi Kings,124,Comilla Victorians,130/5,Shahid Afridi,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,5,0,5 wickets,Alex Wharf,Morshed Ali Khan
532,2018/19,14th,Jan 13 2019,Comilla Victorians,184/5,Chittagong Vikings,186/6,Mushfiqur Rahim,Chittagong Vikings,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,4,0,4 wickets,Alex Wharf,Nadir Shah
530,2018/19,16th,Jan 15 2019,Sylhet Sixers,68,Comilla Victorians,69/2,Mahedi Hasan,Comilla Victorians,field first,Victorians,Sylhet International Cricket Stadium,Stadium,8,0,8 wickets,Masudur Rahman,Ranmore Martinesz
529,2018/19,17th,Jan 16 2019,Rajshahi Kings,136/6,Dhaka Dynamites,116/9,Arafat Sunny,Rajshahi Kings,bat first,Kings,Sylhet International Cricket Stadium,Stadium,0,20,20 runs,Alex Wharf,Mahfuzur Rahman
528,2018/19,18th,Jan 16 2019,Sylhet Sixers,187/5,Rangpur Riders,160/6,Litton Das,Rangpur Riders,field first,Sixers,Sylhet International Cricket Stadium,Stadium,0,27,27 runs,Masudur Rahman,Ranmore Martinesz
524,2018/19,22nd,Jan 19 2019,Chittagong Vikings,214/4,Khulna Titans,188/8,Mushfiqur Rahim,Khulna Titans,field first,Vikings,Sylhet International Cricket Stadium,Stadium,0,26,26 runs,Ranmore Martinesz,Tanvir Ahmed
523,2018/19,23rd,Jan 21 2019,Rajshahi Kings,176/3,Comilla Victorians,138,Laurie Evans,Comilla Victorians,field first,Kings,"Shere Bangla National Stadium, Mirpur",Mirpur,0,38,38 runs,Sharfuddoula,Shozab Raza
527,2018/19,19th,Jan 18 2019,Sylhet Sixers,158/8,Dhaka Dynamites,163/4,Shakib Al Hasan,Sylhet Sixers,bat first,Dynamites,Sylhet International Cricket Stadium,Stadium,6,0,6 wickets,Masudur Rahman,Ranmore Martinesz
526,2018/19,20th,Jan 18 2019,Khulna Titans,181/7,Comilla Victorians,186/7,Tamim Iqbal,Comilla Victorians,field first,Victorians,Sylhet International Cricket Stadium,Stadium,3,0,3 wickets,Alex Wharf,Gazi Sohel
525,2018/19,21st,Jan 19 2019,Sylhet Sixers,194/4,Rangpur Riders,195/6,Rilee Rossouw,Rangpur Riders,field first,Riders,Sylhet International Cricket Stadium,Stadium,4,0,4 wickets,Alex Wharf,Gazi Sohel
520,2018/19,26th,Jan 22 2019,Comilla Victorians,153/8,Dhaka Dynamites,146/9,Thisara Perera,Dhaka Dynamites,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,0,7,7 runs,Mahfuzur Rahman,Ranmore Martinesz
522,2018/19,24th,Jan 21 2019,Dhaka Dynamites,139/9,Chittagong Vikings,145/7,Robbie Frylinck,Dhaka Dynamites,bat first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,3,0,3 wickets,Nadir Shah,Ranmore Martinesz
521,2018/19,25th,Jan 22 2019,Khulna Titans,181/6,Rangpur Riders,183/4,Farhad Reza,Rangpur Riders,field first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,Sharfuddoula,Shozab Raza
519,2018/19,27th,Jan 23 2019,Rajshahi Kings,157/5,Chittagong Vikings,159/4,Mushfiqur Rahim,Chittagong Vikings,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,Nadir Shah,Ranmore Martinesz
518,2018/19,28th,Jan 23 2019,Khulna Titans,170/9,Sylhet Sixers,149/7,David Wiese,Sylhet Sixers,field first,Titans,"Shere Bangla National Stadium, Mirpur",Mirpur,0,21,21 runs,Alex Wharf,Morshed Ali Khan
516,2018/19,30th,Jan 25 2019,Rangpur Riders,239/4,Chittagong Vikings,167/8,Alex Hales,Chittagong Vikings,field first,Riders,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,0,72,72 runs,Alex Wharf,Sharfuddoula
515,2018/19,31st,Jan 26 2019,Sylhet Sixers,195/4,Khulna Titans,137,Mohammad Nawaz,Sylhet Sixers,bat first,Sixers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,0,58,58 runs,Alex Wharf,Gazi Sohel
517,2018/19,29th,Jan 25 2019,Sylhet Sixers,180/6,Rajshahi Kings,104,Sohail Tanvir,Rajshahi Kings,field first,Sixers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,0,76,76 runs,Morshed Ali Khan,Shozab Raza
511,2018/19,35th,Jan 29 2019,Chittagong Vikings,116/8,Comilla Victorians,117/3,Shahid Afridi,Chittagong Vikings,bat first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,7,0,7 wickets,Mahfuzur Rahman,Ranmore Martinesz
510,2018/19,36th,Jan 29 2019,Rajshahi Kings,141/8,Rangpur Riders,145/4,Farhad Reza,Rajshahi Kings,bat first,Riders,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,6,0,6 wickets,Alex Wharf,Masudur Rahman
513,2018/19,33rd,Jan 28 2019,Comilla Victorians,237/5,Khulna Titans,157,Evin Lewis,Khulna Titans,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,0,80,80 runs,Shozab Raza,Tanvir Ahmed
514,2018/19,32nd,Jan 26 2019,Rajshahi Kings,198/5,Chittagong Vikings,191/8,Mustafizur Rahman,Chittagong Vikings,field first,Kings,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,0,7,7 runs,Sharfuddoula,Shozab Raza
512,2018/19,34th,Jan 28 2019,Dhaka Dynamites,186/6,Rangpur Riders,189/2,AB de Villiers,Dhaka Dynamites,bat first,Riders,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,8,0,8 wickets,Masudur Rahman,Ranmore Martinesz
59,2018/19,37th,Jan 30 2019,Chittagong Vikings,174/5,Dhaka Dynamites,163/9,Cameron Delport,Chittagong Vikings,bat first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,0,11,11 runs,Mahfuzur Rahman,Shozab Raza
58,2018/19,38th,Jan 30 2019,Sylhet Sixers,189/5,Rajshahi Kings,190/5,Laurie Evans,Sylhet Sixers,bat first,Kings,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,5,0,5 wickets,Ranmore Martinesz,Tanvir Ahmed
57,2018/19,39th, Feb 1 2019,Comilla Victorians,127,Dhaka Dynamites,126/9,Mohammad Saifuddin,Dhaka Dynamites,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,0,0,1 run,Alex Wharf,Masudur Rahman
56,2018/19,40th, Feb 1 2019,Sylhet Sixers,165/5,Chittagong Vikings,136,Ebadot Hossain,Chittagong Vikings,field first,Sixers,"Shere Bangla National Stadium, Mirpur",Mirpur,0,29,29 runs,Nadir Shah,Shozab Raza
51,2018/19,2nd, Feb 6 2019,Rangpur Riders,142,Dhaka Dynamites,147/5,Rubel Hossain,Dhaka Dynamites,field first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,5,0,5 wickets,Alex Wharf,Masudur Rahman
232,2015/16,2nd,Nov 22 2015,Comilla Victorians,110/8,Dhaka Dynamites,112/4,Abul Hasan,Comilla Victorians,bat first,Dynamites,"Shere Bangla National Stadium, Mirpur",Mirpur,6,0,6 wickets,Enamul Haque,Ranmore Martinesz
233,2015/16,1st,Nov 22 2015,Chittagong Vikings,187/7,Rangpur Riders,188/8,Misbah-ul-Haq,Chittagong Vikings,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,2,0,2 wickets,Enamul Haque,Sharfuddoula
231,2015/16,3rd,Nov 23 2015,Chittagong Vikings,180/5,Sylhet Super Stars,179/6,Shafiul Islam,Sylhet Super Stars,field first,Vikings,"Shere Bangla National Stadium, Mirpur",Mirpur,0,0,1 run,Masudur Rahman,Sharfuddoula
55,2018/19,41st, Feb 2 2019,Comilla Victorians,72,Rangpur Riders,76/1,Ravi Bopara,Comilla Victorians,bat first,Riders,"Shere Bangla National Stadium, Mirpur",Mirpur,9,0,9 wickets,Minhajul Abedin Afridi,Sanjit Saha
