Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
RocketLeague,1322448480,33540,206681,36086,1409120,412101,57189129,True,False,English
csgomc_ru,1308967860,77955,364816,17020,492954,447601,42952835,True,False,Russian
Clix,1256647110,89760,81926,12996,2035180,1687923,33286370,True,False,English
Gorgc,1252711830,141135,56449,8683,391726,136943,20882507,True,True,English
서새봄냥 (saddummy),1241997345,182310,25482,6681,580794,97615,30550147,True,False,Korean
NoWay4u_Sir,1234567245,139920,24286,8479,383892,108832,23037239,True,False,German
RiotGamesBrazil,1228613130,38370,255542,25918,1011924,325801,33796768,True,False,Portuguese
JLTomy,1228169940,121455,42079,10053,428073,277529,13890640,True,False,French
SolaryFortnite,1223349555,381735,46710,3180,1478270,447191,26737542,True,False,French
ONSCREEN,1197130335,134880,88516,4134,918654,669348,22820310,True,False,English
AdmiralBahroo,1188645990,141210,21053,8152,778055,72454,12853095,True,False,English
Quin69,1186941750,174270,36742,6616,538532,87860,19512632,True,True,English
Trymacs,1184154975,107880,50957,10735,1607134,582089,21254933,True,False,German
dasMEHDI,1172969025,231465,47683,5013,299048,76568,7422911,True,True,English
sneakylol,1149209820,174885,22759,6775,1659108,183911,17820367,True,False,English
NickEh30,1148114400,117885,85073,9702,1660204,1445590,39439261,True,False,English
fps_shaka,1131509385,215160,26572,5195,303671,128907,21331882,True,False,Japanese
LVPes,1115650275,90960,233009,12947,587677,158934,51523747,True,False,Spanish
Vader,1110952500,184305,16289,5913,424374,57681,11535871,True,True,English
forsen,1106781045,109140,33966,10080,1308165,164792,18534278,True,True,English
Papaplatte,1105525440,125550,42230,8546,919026,552959,23472239,True,False,German
StarLadder_cs_en,1088832810,32880,329195,29956,820675,260993,29821162,True,False,English
Symfuhny,1076179485,137400,45671,7327,2355063,704327,18756705,True,True,English
DreamHackCS,1052904720,314595,212201,5001,1801697,275934,28759226,True,False,English
Mizkif,1052047935,123120,32671,7899,591653,365303,13585178,True,False,English
Rainbow6,1031011170,82380,135471,11535,1501197,428942,16786627,True,True,English
stylishnoob4,1029543660,118515,25263,8485,354579,124038,20638084,True,False,Japanese
Maximilian_DOOD,1023316710,110040,43253,9235,833047,133195,15517436,True,False,English
Trainwreckstv,1021699920,148425,49379,7134,728097,379973,12449595,True,True,English
dota2ti,1017577605,6315,483530,147643,663297,121422,16228039,True,False,English
GRONKH,1017544335,54645,100330,17860,1216020,192000,16800930,True,False,German
SypherPK,1016450160,145230,130401,6553,3611359,1118169,26996445,True,False,English
ZeratoR,1011013035,84960,262273,10516,880728,240442,31456198,True,True,French
SilverName,1006608690,95625,29927,10618,614395,108466,27464678,True,False,Russian
Sacriel,1002681105,163095,66781,5573,672403,136341,60194490,True,False,English
dakotaz,978947160,132615,43397,7112,4520305,489250,18504106,True,False,English
Stray228,972961650,93750,36971,10290,773712,197486,23738903,True,False,Russian
AdmiralBulldog,972317520,154845,16681,6198,694253,66513,17095676,True,True,English
pokimane,964334055,56505,112160,16026,5367605,2085831,45579002,True,False,English
lestream,955346835,253395,47638,3652,883706,124020,25815105,True,False,French
ybicanoooobov,938816460,114765,17036,8255,523512,101937,16237397,True,False,Russian
Method,905107560,230940,148350,4135,401400,132108,22813009,True,False,English
Nightblue3,899215845,118980,17738,7234,2641880,175130,19181711,True,False,English
EsfandTV,888938940,189045,29597,4393,471970,216021,24144005,True,False,English
shroud,888505170,30240,471281,29612,7744066,833587,30621257,True,False,English
NOBRU,888211260,38655,132224,22070,1549722,1400039,6781403,True,False,Portuguese
buster,884353800,59295,97838,14195,1087377,1052053,37351933,True,False,Russian
Scarra,864157695,138360,27421,6060,1242014,333090,15626904,True,False,English
Baiano,859718520,85860,107069,9229,425797,363343,19412227,True,False,Portuguese
괴물쥐123 (tmxk319),857951685,116400,71933,7173,427926,367486,17151766,True,False,Korean
WePlayEsport_RU,853324635,92970,115737,8627,346934,243137,28789066,True,False,Russian
elded,853049385,110940,44758,7699,2601858,1108422,14789437,True,False,Spanish
LPL,850636305,48765,146577,17573,502467,280538,31029241,True,False,English
juansguarnizo,849083325,123780,45631,6039,1204773,946280,12708431,True,False,Spanish
Rakin,842581305,144510,51854,5333,1258173,517248,24523589,True,False,Portuguese
SolaryHS,827452485,460065,17513,1802,149073,35986,10445269,True,False,French
Cellbit,817373955,103095,68813,8264,1293451,547018,18105470,True,False,Portuguese
dota2ti_ru,812538090,6195,457060,126232,541644,108438,12068376,True,False,Russian
uzra,812362125,208785,14181,3683,185506,29752,20715640,True,False,Chinese
OverwatchLeague,805163370,24480,254493,33132,1796619,83198,27099682,True,False,English
Thijs,794621265,108720,24923,7180,755116,68557,15548337,True,False,English
Swagg,790021440,108375,74199,6309,784966,723082,7527027,True,False,English
TeePee,789698115,170010,78741,4410,520519,238257,17102146,True,True,English
LVNDMARK,788421150,199350,96236,3688,248829,244295,8815201,True,False,English
Agraelus,779867430,169515,23555,4642,414951,132125,20334558,True,True,Czech
BLASTPremier,753808200,25260,113167,24689,501371,315910,21104122,True,False,English
cloakzy,748023225,101670,40497,6743,2138294,558107,14533643,True,False,English
aceu,744620970,118125,26141,6328,859439,763489,15894732,True,True,English
蝦愛橘子 (shuteye_orange),728551080,325935,7441,2217,85247,29549,18572922,True,True,Chinese
Elraenn,726379485,51150,65543,13224,1223076,672978,20881140,True,False,Turkish
Elajjaz,726000045,145755,13080,4922,346566,37883,12800182,True,False,English
CDNThe3rd,722562675,134280,55752,4919,2009972,167704,15136396,True,False,English
POW3Rtv,721548885,177885,69009,3836,1080764,495072,23271722,True,False,Italian
IzakOOO,717096330,129165,43050,4463,1461767,286467,23586902,True,False,Polish
DreadzTV,715644660,109725,35865,6249,675908,57448,32228705,True,True,Russian
따효니 (ddahyoni),711864630,152445,17253,4534,322895,46946,15586820,True,False,Korean
WePlayEsport_EN,704823000,107745,87751,6127,175061,137229,17857171,True,False,English
ElmiilloR,686456910,126105,45726,5163,426716,189847,20714971,True,False,Spanish
Squeezie,667977780,29775,158972,19260,2149306,875678,21128175,True,False,French
allkeyshop_tv,663185955,487005,6075,1361,67472,26937,55639770,True,False,English
Domingo,662502810,65610,102022,11423,829700,276400,23040428,True,False,French
PlayHearthstone,661075170,41175,43877,13154,825727,39065,28719610,True,False,English
ESL_DOTA2,661049190,212010,99858,4714,337177,91323,14784068,True,False,English
Kitboga,656365305,80760,20913,7394,772055,331906,8392545,True,False,English
DansGaming,653181210,187530,33646,3270,817365,29415,13757678,True,False,English
老皮 (mobilmobil),652685055,126120,16497,5303,446426,34362,20520762,True,True,Chinese
Destiny,650910525,162690,24101,3894,571183,115692,8579344,True,True,English
우왁굳 (woowakgood),650364705,158850,14177,4100,591500,207575,18626351,True,False,Korean
RATIRL,649761570,145050,14480,4420,423002,249048,14109245,True,True,English
bratishkinoff,646333065,60795,56790,10626,1128907,389268,25254350,True,False,Russian
Yogscast,644580630,443130,54885,1384,961860,127684,20999649,True,False,English
앰비션_ (lol_ambition),639445965,113415,57254,5332,362297,108498,17248420,True,False,Korean
jukes,628079220,76605,24263,8165,1327059,353576,19915875,True,False,Portuguese
木棉花官方頻道 (muse_tw),625892895,446655,16702,1397,121053,120954,13670649,True,True,Chinese
Shlorox,625142130,115650,13945,5216,331632,77979,13181386,True,False,German
coscu,622424175,77160,80444,8919,1865296,1061265,19438119,True,False,Spanish
dogdog,622199835,103335,24727,5856,594239,50345,12089717,True,False,English
chocoTaco,620395515,160830,30514,3846,1134153,250201,17922897,True,False,English
Locklear,619247415,108450,50103,5512,824676,469017,17854413,True,False,French
餐餐自由配 (blusewilly_retry),618755280,100515,17585,5941,374480,42764,18366224,True,False,Chinese
Amouranth,618067800,235170,13495,2560,1707804,532750,48015117,True,False,English
UberHaxorNova,615472275,181950,7808,3247,421256,65267,7518457,True,False,English
Sfory,612617325,73590,75219,3197,457502,450299,12391816,True,False,Russian
Giantwaffle,612594165,165525,36340,3429,878934,15334,10831070,True,False,English
ZanoXVII,610609920,95730,30648,6073,514866,322929,6034891,True,False,Italian
침착맨 (zilioner),601906185,97545,43164,5843,465887,121506,18265409,True,False,Korean
SkipNhOLIVE,600910875,498765,7940,1196,324765,271487,6544645,True,False,Portuguese
Kamet0,600882645,130620,70983,4560,565661,221911,14071951,True,False,French
MYM_ALKAPONE,599850495,97830,26221,5948,770535,153803,7831334,True,False,Spanish
김진우 (jinu6734),597275955,121545,12810,4710,274875,90213,9977487,True,False,Korean
imaqtpie,596368095,167190,26087,3478,2652018,50312,13182700,True,False,English
x2Twins,595707975,125745,31874,4167,1288969,1035561,15264996,True,False,English
C_a_k_e,588662010,129660,17317,4403,302633,45957,18161823,True,False,Russian
SmiteGame,586925850,344055,33245,1588,535211,73678,8305604,True,False,English
RatedEpicz,582401145,175920,11860,3336,134757,74221,7251200,True,True,English
wtcN,582125625,77385,73861,7438,1852272,566210,25333548,True,True,Turkish
Anton,581034300,142890,137531,3199,207484,128050,6176254,True,True,English
benjyfishy,580787955,34350,75491,14423,1739112,1455278,20411553,True,False,English
StarLadder5,580541850,41715,189859,13089,1029203,104382,21525216,True,False,Russian
Reborn_Live,578122875,32100,57849,17488,697007,682512,9965787,True,True,Spanish
CasinoDaddy,577240710,267465,6524,2168,151098,42680,7493491,False,True,English
H2P_Gucio,575998575,157995,10011,3581,220488,78264,13401489,True,False,Polish
Xayoo_,575138175,91260,23935,6091,572789,215098,12984472,True,False,Polish
Jinnytty,569601090,151815,15190,3607,372334,213291,15165872,True,False,English
KendineMuzisyen,567374295,58545,43422,9583,1372290,486410,17629667,True,True,Turkish
Jahrein,566176425,61890,43683,8929,1422862,247212,18410268,True,False,Turkish
Mathil1,561997440,134715,25866,3953,293595,66982,13159849,True,False,English
Greekgodx,561616335,89745,45741,7083,1278824,403108,12441822,True,True,English
Brunenger,559915035,183225,64308,2844,659652,649562,12736000,True,False,Spanish
ClassyBeef,558883590,273660,33624,1941,108623,88671,6626543,False,True,English
Diegosaurs,558587535,128580,32463,4150,521201,270255,9851921,True,True,English
BobRoss,558170835,238035,11659,2175,1519266,216326,7491995,True,False,English
Nick28T,556741020,183660,15155,3024,977377,78054,6777975,True,True,English
녹두로 (nokduro),555637890,140670,15858,4040,165823,95603,9518923,True,False,Korean
GMHikaru,554249955,68355,46106,7155,505361,425023,20086431,True,False,English
SkipNhO,553663800,131580,23408,3875,1076499,281967,13901197,True,False,Portuguese
jovirone,553283745,96450,29272,5632,1089830,300545,17980307,True,False,Portuguese
Chap,550951215,157545,22571,3430,1272899,273926,13683195,True,False,English
김도 (kimdoe),549244755,134985,11759,4062,287639,10062,14188002,True,True,Korean
RebirthzTV,548041425,118920,14578,4629,276694,76546,8434367,True,False,Thai
Klean,545108145,169605,101124,2801,276242,154466,7844435,True,False,English
接接 (godjj),544706325,126705,12461,4378,331744,19325,20264128,True,False,Chinese
Gladd,543954570,171195,54477,2779,337972,157424,9290817,True,False,English
CSRuHub,540556545,110880,106003,5044,511431,121099,23271913,True,False,Russian
CriticalRole,539495145,21300,110800,17689,571210,237069,7827030,True,False,English
Vinesauce,536989080,86790,19065,6125,442493,80616,5560969,True,True,English
울프 (lol_woolf),532969650,50910,73800,9633,308528,141297,9294132,True,False,Korean
Mithrain,530456265,105540,40183,4990,1258713,371005,24222810,True,False,Turkish
EWROON,526660590,101235,21341,5172,514693,232079,13289271,True,False,Polish
ludwig,525883695,94575,60346,5368,542580,505089,8508355,True,False,English
RduLIVE,525737445,127380,11854,3953,234884,62490,7653194,True,False,English
Hiko,523057245,79665,41644,5268,1001350,479830,11106951,True,False,English
FENGRUSH,521568750,100605,16128,4985,95643,23288,44675247,True,False,English
Chess,521511525,96315,83666,5767,326118,181232,84500786,True,False,English
72hrs,519458565,136515,30702,3756,1024814,315190,12051692,True,False,English
TwitchRivals,516113670,36555,109148,14509,999480,644684,71159574,True,False,English
狂暴小建 (a541021),516009420,166575,8337,3105,207369,18023,18201933,True,False,Chinese
hashinshin,515812965,192255,12540,2483,570621,159892,11386166,True,False,English
JoshOG,510984165,159300,85051,2957,1748928,120782,20688501,True,False,English
B0aty,510323715,151215,22375,3152,516113,49577,8448691,True,True,English
AustinShow,509643945,21000,72199,24739,840624,378656,11648873,True,True,English
39daph,509052375,135495,12648,3766,505362,470589,8983449,True,False,English
scump,506838930,71355,79976,6789,893010,275270,8661072,True,False,English
플러리 (flurry1989),505333050,128790,12084,3859,169505,51935,10969148,True,False,Korean
Kyle,501208575,161295,9339,3059,182260,60506,5692219,True,True,English
SummonersInnLive,499421415,64875,110095,6328,503346,46779,13724263,True,False,German
Aydan,495563580,140595,51268,3507,1701314,425036,11009240,True,True,English
Faker,492835710,17115,56325,29414,2716270,750480,26508938,True,False,Korean
Mongraal,492733995,27060,89706,18180,2951980,1454481,19515587,True,False,English
탬탬버린 (2chamcham2),490230510,95055,16243,5107,489270,144698,13076008,True,False,Korean
EmadGG,487281450,132630,67732,2741,702744,623391,9556065,True,False,English
쌍베 (pacific8815),483895050,120435,20936,3992,171858,54326,14452008,True,False,Korean
FolagorLives,482387190,79995,57813,5032,786983,417899,9640983,True,False,Spanish
lilypichu,477949200,56280,33075,8407,1363222,657630,14729189,True,False,English
mistermv,476597370,71655,39961,6627,479900,150486,12959273,True,True,French
Bonjwa,473157810,251250,11063,1802,123954,20250,14247514,True,False,German
KingGeorge,472786395,160140,12621,2914,767727,250434,6445996,True,False,English
KingRichard,472405995,137175,17327,3312,1536757,109795,9570639,True,False,English
melharucos,468792120,130275,13825,3519,328473,59167,17845821,True,True,Russian
INSCOPE21TV,468467130,59925,51244,7554,658658,491663,10630158,True,True,German
JohnPitterTV,461605275,508965,4148,900,286184,211365,19054606,True,False,Portuguese
Zizaran,460519830,156195,20745,2552,267004,47149,16917944,True,False,English
imls,460332570,78945,32758,5621,392024,177673,8610645,True,False,English
TSM_ImperialHal,459076530,120975,23107,3550,302593,287810,8907366,True,False,English
악어 (jdm2088),458883255,32625,65622,15405,276488,132821,5377506,True,False,Korean
Ramee,457242510,159825,10845,2825,132642,74094,6606894,True,False,English
Towelliee,453487500,183090,15495,2392,705098,21398,17009119,True,False,English
SPYGEA,452479680,143730,17228,3131,222046,92067,10569192,True,False,Japanese
FollowGrubby,451910415,132015,15296,3365,430649,46282,12249560,True,False,English
Amar,449223195,100800,45549,4207,604374,281928,11787544,True,False,German
mch_AGG,443328990,499575,11191,884,219431,124548,11142208,True,True,Portuguese
IWillDominate,442870530,93480,23813,4591,797244,79514,8695968,True,False,English
Nadeshot,440331540,50175,40327,7985,1472104,428800,7844647,True,True,English
buddha,438460680,135090,11971,3184,247303,24901,6326808,True,True,English
Deadlyslob,438143850,119085,104568,3088,315637,130944,6321235,True,False,English
懶貓 (failverde),437353350,184845,14610,2348,169973,29861,13001718,True,False,Chinese
嬌兔 (zrush),436243530,137910,10628,3084,180412,49296,13297850,True,True,Chinese
HoneyMad,434971635,67995,21369,6394,533250,74407,14755893,True,True,Russian
ESAMarathon,433329345,301395,22132,1460,244440,35038,32500708,True,False,English
Nmplol,429213420,63870,24687,6767,455444,130564,8859183,True,False,English
relaxing234,428279160,51180,19194,8405,258402,88247,12225523,True,False,Chinese
Doigby,428267280,59655,93577,6829,1068260,611786,11805401,True,False,French
Sequisha,426325350,163530,19755,2540,252495,86220,7404102,True,True,English
HusKerrs,425044665,107610,39433,3247,361360,288952,6298662,True,False,English
얍얍 (yapyap30),422278350,46800,36933,9306,301033,26768,9798569,True,False,Korean
Elwind,421436625,58965,18270,7165,703464,200170,14369324,True,False,Turkish
Shiphtur,420316860,118410,19688,3414,709343,58604,7906425,True,False,English
BarbarousKing,419187600,188895,13419,2244,159402,42931,4822422,True,True,English
alexelcapo,418413015,72930,74670,5772,680023,211908,13364167,True,False,Spanish
moistcr1tikal,415091820,103170,42135,3977,1166681,724159,7780736,True,False,English
Rush,412717875,86265,15405,4731,542991,120906,7575905,True,False,English
LosPollosTV,411900525,69900,54323,5671,476096,138468,6201733,True,False,English
DreamLeague,411414600,244560,147514,1751,349054,61032,7424007,True,False,English
Voyboy,411274050,80670,21187,4632,1251182,139443,8151140,True,False,English
BastiGHG,410621295,144135,10455,2733,507730,236118,8093220,True,False,German
DatModz,409985220,228615,14288,1753,270720,36757,9812812,True,False,English
dafran,408885990,92565,19611,4319,599036,142689,7944645,True,False,English
yeTz,408478725,87990,21212,4221,849972,281059,10731565,True,False,Portuguese
Aurateur,407829960,163815,15547,2492,142427,26782,4368785,True,True,English
pokelawls,407214675,118335,22496,3352,668807,182123,5999354,True,False,English
ziGueira,407188275,117555,36519,3203,529814,212042,7967420,True,False,Portuguese
A_Seagull,407156655,95160,28779,4193,1028544,55228,7374161,True,True,English
koil,403848390,145035,13421,2791,299033,50231,7743238,True,True,English
PAGO3,402836460,156135,20284,2326,425072,150470,12693893,True,False,Polish
Llobeti4,402468465,112545,37469,3410,648084,606080,9957496,True,False,Spanish
殺梗 (xargon0731),401439255,155325,8406,2549,283232,16999,17013239,True,False,Chinese
itsHafu,400822020,123375,34345,3276,787371,36756,10008765,True,False,English
shongxbong,400635750,50310,94869,7656,845158,671127,4198232,True,False,Arabic
StaysafeTV,399746130,135180,15608,2876,149648,73218,7427189,True,True,English
Loeya,398289900,150495,7955,2635,1233300,337821,19024045,True,False,English
RiotGamesJP,390922410,26325,60682,13675,141684,36105,9101692,True,False,Japanese
btssmash,389890800,362970,94083,1061,216558,81658,6933788,True,False,English
PietSmiet,387717165,84495,39004,4147,576903,122061,11483357,True,False,German
Payo,385755615,137400,12274,2772,175503,112595,11672019,True,False,English
Shotz,385739280,153105,10316,2523,159763,48388,5464553,True,True,English
실프_ (silphtv),385176540,197055,9401,1891,309065,87400,7215989,True,False,Korean
m0xyy,384746505,136095,25387,2431,461534,269311,6207063,True,False,English
LexVeldhuis,380251830,73935,58416,4939,244467,66680,14339774,True,False,English
NateHill,379971075,111555,41610,3311,1055613,449635,14221498,True,False,English
Shaunz,379800060,97860,20861,3791,148568,84393,10605782,True,False,French
Emongg,379682235,155910,21922,2228,504653,156093,5794763,True,False,English
fl0m,379633995,188070,19318,1931,658323,183265,11489901,True,False,English
AsmodaiTV,379345935,132360,11751,2796,247056,30588,6547592,True,False,English
Homyatol,378734925,70725,26274,4826,375749,249186,6981248,True,True,Italian
Grimmmz,377312595,176580,21993,2153,1001739,37734,7803917,True,True,English
aXtLOL,376430955,73815,25340,4991,763886,193266,8969210,True,False,Portuguese
boyMinORu,376358805,142830,22141,2717,367223,73551,17822170,True,True,Thai
just_ns,376209315,93615,37023,3969,341549,66811,12351240,True,False,Russian
BurkeBlack,372767025,171675,4922,2154,276421,13471,5367772,True,True,English
Trick2g,371417130,132945,28917,2650,1476226,115863,8688676,True,True,English
FORMAL,369971310,137190,16518,2391,512592,176173,4803076,True,False,English
Fortnite,369166335,12030,169084,28584,3558217,1163448,21509520,True,False,English
Magic,362552205,43350,114234,5123,365714,50355,18694298,True,False,Spanish
Xari,361741665,80535,28830,4841,269447,147894,5746209,True,False,French
RocketBeansTV,360858030,518415,5223,696,416018,27024,5973152,True,False,German
ANGRYPUG,360278835,184845,9822,1892,366463,48331,4962556,True,True,English
MarcaoRX,359273445,336690,5210,1258,166594,65904,4541683,True,True,Portuguese
yamatonjp,359095725,159420,8247,2269,179920,67794,10882318,True,False,Japanese
btscsgo,357966315,57165,74949,6530,219539,166599,9173781,True,False,English
Skyyart,356907810,111165,32577,2311,598579,239491,8203617,True,False,French
gratis150ml,356697420,198075,9601,1801,741652,129328,12187175,True,False,Portuguese
ShivFPS,355389630,203175,7216,1782,236407,174213,6900666,True,False,English
Ponce,355091505,111360,23255,3043,242969,196880,13687141,True,False,French
Distortion2,354144315,170220,11495,1953,314170,44982,5500067,True,True,English
boxbox,353396640,117720,25314,2717,1717150,145809,9971842,True,False,English
강지 (rkdwl12),353381040,141450,29993,2484,507418,270927,12873339,True,False,Korean
TheKAIRI78,353046060,50310,47081,6795,885915,650990,5134322,True,False,French
RiotGamesRU,352700745,17880,73049,19753,173861,75538,6832561,True,False,Russian
FPSThailand,351025410,158640,38563,2260,390579,74894,18596656,True,False,Thai
김나성 (naseongkim),350120640,215505,7628,1584,103260,20536,8471746,True,False,Korean
오킹 (obm1025),346276365,96000,19328,3563,428179,244442,8920133,True,False,Korean
singsing,346171920,126795,11839,2735,572005,45761,6526670,True,True,English
BlackUFA,345166455,88035,10349,3889,279922,34803,12888906,True,False,Russian
QuattroAce,342273825,185715,48810,1696,157620,136490,7245324,True,False,Russian
bateson87,342162660,98730,20204,3344,598678,254821,16648694,True,False,English
Staiy,341874270,91545,15429,3711,259624,90591,5503882,True,False,German
polsatgames,340417455,57870,66706,5695,141026,74586,16290334,True,False,Polish
NymN,340095510,100125,23488,3402,241746,111122,4409296,True,True,English
orangemorange,338213940,122835,18387,2653,261139,85861,9889442,True,False,German
MinosTV_,338084550,167190,24576,2034,204605,192534,5554989,True,True,French
NairoMK,335695215,106200,22074,3054,339545,69474,6132895,True,False,English
철면수심 (109ace),335311860,145425,12180,2202,166726,35165,7631326,True,False,Korean
UnknownxArmy,333869670,92250,41700,3735,850944,836664,11325781,True,False,English
s1mple,333097410,24615,34971,12723,1681884,740732,20277843,True,False,English
bysTaXx,331965075,48945,259210,6210,1093212,795296,10207313,True,False,Spanish
Sjow,331726155,149700,8140,2189,240206,21662,3365340,True,False,English
hardgamechannel,331308960,55125,27529,5711,786562,256678,10562872,True,False,Russian
scoped,330160515,63360,47343,5165,731808,728892,8279834,True,True,English
VooDooSh,329448660,137670,7560,2519,85678,66129,9003037,True,True,Russian
WELOVEGAMES,328935150,116520,27956,2761,413458,49713,23682775,True,False,Russian
StereOnline,327697680,400770,4227,785,327645,91352,4620985,True,False,Portuguese
keanelol,327242790,147255,7208,2176,162917,85035,4068823,True,False,English
살인마협회장 (sal_gu),326488155,122925,16252,2663,164092,45255,6226900,True,False,Korean
sips_,325731015,108990,7872,2984,430755,84034,4331397,True,True,English
ESL_CSGOb,325637220,52530,89949,5114,575769,183662,13742820,True,False,English
kyo1984123,325018110,204975,5967,1516,135687,12731,12070678,True,False,Chinese
midbeast,324433515,118005,16153,2652,330060,143256,10000927,True,False,English
Alexby11,323225055,54810,53526,5331,1448018,1145810,8378248,True,False,Spanish
Tumblurr,322841490,81210,17165,3846,353687,236441,4008897,True,False,Italian
Veritas,320121405,135150,103833,1595,182492,131913,4176079,True,False,English
daltoosh,319194420,154440,16445,2038,241602,163486,3665065,True,False,English
ELoTRiX,319051995,56310,31194,5620,895851,318247,5587147,True,True,German
TSM_Viss,316437645,117795,18844,2668,762778,101135,7091125,True,False,English
Anthony_Kongphan,316366395,163920,49085,1858,462128,44534,6805829,True,False,English
modestal,316203420,55455,25985,5660,323364,193939,11440074,True,False,Russian
소풍왔니 (yumyumyu77),315613800,66315,24521,4496,309322,46911,13030325,True,False,Korean
XEWER,315398565,189315,17100,1660,455056,215059,6449741,True,False,French
blxckoutz,314656260,152970,18483,2566,482061,402587,8381945,True,False,Portuguese
EASPORTSFIFA,313078095,12165,106126,24395,1287954,427684,11286667,True,False,English
ALOHADANCETV,312898725,70320,18317,4288,555334,92209,12461610,True,True,Russian
연두는말안드뤄 (rudbeckia7),311520135,126300,7111,2478,212053,24606,9675073,True,False,Korean
Flashpoint,311325840,19320,77708,11713,93616,93120,27828448,True,False,English
Steelmage,311218875,178485,10815,1696,60987,37839,7005761,True,False,English
RoyalPhunk,311093010,104565,12141,2934,204451,34597,4921311,True,True,German
Overpow,309892665,153015,10858,2004,254516,29344,9020762,True,True,Polish
NeVeR_LosEs,309559170,82635,9671,3680,200953,23806,10608507,True,False,Chinese
